?location	?company	?location_id	?company_id	?acc
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/Tata_Motors>	0	898	19.969095368944732e0
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/Hindustan_Aeronautics_Limited>	0	436	14.410630146032169e0
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/Maruti_Suzuki>	0	596	6.228855391020156e0
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/Mahindra_&_Mahindra>	0	586	2.3306917632391393e0
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/Ashok_Leyland>	0	97	1.9570687048987427e0
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/Hindustan_Motors>	0	437	1.6473720403534282e0
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/United_Breweries_Group>	0	947	8.558244150311463E-1
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/Raj_Hamsa_Ultralights>	0	755	0.7857601945207998e0
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/Force_Motors>	0	349	0.5457249989501454e0
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/Vehicle_Factory_Jabalpur>	0	967	0.3440013717589567e0
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/Spice_Digital>	0	865	0.3358542586382255e0
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/Mahindra_REVA>	0	587	2.9274403622754025E-1
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/Eicher_Motors>	0	303	2.8980542379727786E-1
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/Parle_Agro>	0	702	2.674034874404614E-1
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/Bajaj_Auto>	0	127	2.3769474977164223E-1
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/Amrut_Distilleries>	0	76	2.2293809321040617E-1
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/Mohan_Meakin>	0	633	2.209644338454228E-1
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/Amkette>	0	74	2.0411593399970776E-1
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/Lava_International>	0	550	1.661691875850322E-1
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/YU_Televentures>	0	1018	1.561629653331714E-1
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/Tara_International>	0	896	1.5526464291206285E-1
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/Ringing_Bells_Private_Limited>	0	774	1.5380951815230365E-1
<http://dbpedia.org/resource/India>	<http://dbpedia.org/resource/Intex_Technologies>	0	483	1.5036859566023797E-1
<http://dbpedia.org/resource/China>	<http://dbpedia.org/resource/Huawei>	1	448	60.79317796490936e0
<http://dbpedia.org/resource/China>	<http://dbpedia.org/resource/Chengdu_Aircraft_Industry_Group>	1	208	26.150108007964302e0
<http://dbpedia.org/resource/China>	<http://dbpedia.org/resource/Xiaomi>	1	1016	23.81260369076572e0
<http://dbpedia.org/resource/China>	<http://dbpedia.org/resource/Meizu>	1	609	20.572963231750496e0
<http://dbpedia.org/resource/China>	<http://dbpedia.org/resource/Shenyang_Aircraft_Corporation>	1	830	20.558494585967885e0
<http://dbpedia.org/resource/China>	<http://dbpedia.org/resource/OnePlus>	1	677	15.314658784531973e0
