asin,title,price,imUrl,salesRank,categories,description,brand
0188399518,Planetwise Flannel Wipes,15.95,http://ecx.images-amazon.com/images/I/41otjnA4OGL._SY300_.jpg,,[['Baby']],"The Planet Wise Flannel Wipes are 10 super soft, color coordinated, high-quality wipes that fit perfectly into the Planet Wise Wipe PouchTM.",Planet Wise
0615447279,Stop Pacifier Sucking without tears with Thumbuddy To Love's Binky Fairy Puppet and Adorable Book,16.95,http://ecx.images-amazon.com/images/I/51RKKENlq%2BL._SY300_.jpg,,[['Baby']],"Thumbuddy To Love- The Binky Fairy helps children give up pacifier sucking without the fuss and tears. The adorable book comes with a matching Binky Fairy puppet and just like the Tooth Fairy, the book is read the night before so children understand where thier pacifiers will go. They awake to find an adorable Binky Fairy puppet under thier pillow knowing  that the Binky Fairy came! Each book comes with a success chart and stickers. Winner of  the PTPA Awards (Parent Tested, Parent Approved). Recommended for ages 2-4.",
0974671517,Wee Gallery Twins Board Book,3.58,http://ecx.images-amazon.com/images/I/51lCiAJWfML._SY300_.jpg,,[['Baby']],"What should we call the Twins? uses an amusing play on words to create an entertaining board book for all ages. The high-contrast faces and colorful flairs cavtipate babies while the rhythmic language appeals to older children. What would you call the twins? You will be tickled by the names toddlers, and even grandparents, come up with.",Wee Gallery
1432109529,&quot;My First Year&quot; Memory Book for Baby Girls,18.2,http://ecx.images-amazon.com/images/I/51LmsFlDbTL._SY300_.jpg,,[['Baby']],"Chronicle the event of growing a family to pass on to future generations with this comprehensive Baby Memory Book. This book has pages for family tree information and offers scrapbook style journaling from the pregnancy experience, pics and all, to the baby shower, birth and babies first year. Treasured keepsake pockets are among the pages, as well as pages devoted to photos and ""Baby's Firsts"" milestones.The precious hardcover volume features a padded front with spot varnish and silver foil accents. The concealed coil lay-flat binding makes it easy use. You'll love the charming, full-color illustrations and the Bible verses and loving quotes found amidst the 64 pages. Gift-boxed.",Christian Art Gifts
1592922929,SoftPlay Twinkle Twinkle Elmo A Bedtime Book,16.95,http://ecx.images-amazon.com/images/I/517j%2BNfKWYL._SX300_.jpg,,[['Baby']],"Young children will adore cuddling up to Elmo while learning to count as five friendly stars help him great ready for bed. Fun to feel textures, peek-a-boo flaps and other moveable parts, as well as a mirror, fun-to-find squeakie and crinkle sounds invite babies and tots to explore, helping them develop important motor skills.",SoftPlay
1592923461,"SoftPlay Giggle Jiggle Funbook, Happy Bear",18.75,http://ecx.images-amazon.com/images/I/51OYqWV7i6L._SX300_.jpg,,[['Baby']],"Happy Bear is a plush book and cuddly friend that wiggles, giggles and growls. Explore the forest with this inquisitive happy bear and learn about eyes, ears, nose, toes and a ticklish tummy.",SoftPlay
159292378X,"SoftPlay Cloth Book, Kisses",23.13,http://ecx.images-amazon.com/images/I/514zR1piBWL._SX300_.jpg,,[['Baby']],"Enjoy warm and happy message of kisses while cuddling baby close. Its colorful illustrations of smiling, happy babies on soft durable pages invite baby to explore, helping develop important motor skills. This charming handmade book has an embroidered cover featuring fun fabrics and textures, encouraging baby to look, touch and learn.",SoftPlay
1592923798,"SoftPlay Cloth Book, Love",9.99,http://ecx.images-amazon.com/images/I/512POoj9z5L._SY300_.jpg,,[['Baby']],"Cuddle baby close to read this soft and sweet book of love. Baby will delight in seeing the happy babies on each easy-to-grasp, durable page. The embroidered cover of this handmade cloth book features fun fabrics and textures for babies to explore, helping them develop important motor skills. Enjoy the warm message of love, together and invite baby to look, to touch and to learn. Packaged in a gift box. Perfect for a baby shower or christening gift.",SoftPlay
1592923771,"SoftPlay Cloth Book, Hugs",11.69,http://ecx.images-amazon.com/images/I/51hb9JZM6EL._SX300_.jpg,,[['Baby']],"Baby loves your hugs. Cuddle baby close while reading this soft, cloth book. Baby will enjoy the colorful illustrations of happy babies and their huggable friends on these easy-to-grab, durable pages. The embroidered cover of this handmade book features fun fabrics, color and textures, perfect for baby to explore. Together, enjoy this sweet book and invite baby to look, touch and learn.",SoftPlay
177036417X,Our Baby Girl Memory Book,16.49,http://ecx.images-amazon.com/images/I/41VKUzyhL6L._SY300_.jpg,,[['Baby']],"""This sweet pink gingham baby book for girls is 64 pages of keepsake records of a baby's birth and first year. There are prompted pages to fill in, scrapbooking pages for photos and more, small envelopes for the hospital bracelet and a lock of hair from the first haircut, and 2 full pockets for assorted keepsakes. The pages carry quotes, poems, prayers and verse from Scripture - all conveying the beauty and design of bringing forth this new life.The padded cover has a die-cut photo frame for you to insert your own favorite picture. A magnetic flap keeps the book closed and tidy. The full-color pages are acid-free.64 Full-Color PagesPadded CoverMagnetic ClosureDie-Cut Cover Photo FrameAcid-Free PaperPackaged In Gift Box With Acetate Window""",Christian Art Gifts
