asin,title,price,imUrl,salesRank,categories,description,brand
0439492815,Our Birthday Graph! Bulletin Board,10.55,http://ecx.images-amazon.com/images/I/51QE4yJwBrL._SX300_.jpg,,"[['Books', 'Education & Teaching', 'Schools & Teaching', 'Instruction Methods']]","This colorful display contains 30 student cupcakes, 12 monthly signs, a large &#x201C;Our Birthday Graph&#x201D; banner, and various confetti accents! The birthday graph can be arranged on your class board either horizontally or vertically. Keep track of students&#x2019; birthdays and at the same time demonstrate basic math skills! 62 pieces.",Scholastic Teacher&#39;s Friend
0439499798,Colors and Shapes! Bulletin Board (poster),9.56,http://ecx.images-amazon.com/images/I/51DiFhu0TAL._SX300_.jpg,,"[['Books', 'Education & Teaching', 'Schools & Teaching', 'Instruction Methods']]","Colorful, large illustrations to teach color and shape recognition! 10 colors - red, blue, yellow, orange, purple, green, pink, brown, black and white. 10 shapes - circle, square, triangle, rectangle, oval, diamond, heart, star, pentagon, hexagon.",Scholastic Teacher&#39;s Friend
0439492262,7 Good Writing Traits! Bulletin Board,10.2,http://ecx.images-amazon.com/images/I/51ZZXp5HKfL._SX300_.jpg,,"[['Books', 'Education & Teaching', 'Schools & Teaching', 'Instruction Methods']]","Seven 12&#x201D; x 18&#x201D; charts noting each of the good writing traits, complete with definitions and check list. Set includes a cute pencil character and &#x201C;7 Good Writing Traits&#x201D; Banner! 16 pieces.",Scholastic Teacher&#39;s Friend
0439509815,Scholastic TF3044 12 Welcome Signs Bulletin Board,9.99,http://ecx.images-amazon.com/images/I/51g5qB-KKLL._SX300_.jpg,,"[['Books', 'Education & Teaching', 'Schools & Teaching', 'Instruction Methods']]",Twelve colorful signs welcome kids and parents to your class! One for each month of the year! Each sign is about 12&#x201D; X 18&#x201D;. Perfect for the classroom door! 12 pieces.,Scholastic
0439697379,Scholastic SC969737 Instant Desktop Organizer,7.98,http://ecx.images-amazon.com/images/I/51iNLf9768L._SX300_.jpg,,"[['Books', 'Education & Teaching', 'Schools & Teaching', 'Early Childhood Education']]","This ready-to-personalize, sturdy file box holds 10 file folders with labels designed especially to meet teachers' organizational needs. It's just the place to manage a teacher's seemingly endless stream of forms, notes, reminders, and paperwork. A 32-page companion book is packed with instant forms and logs, plus hundreds of practical tips for getting-and staying-organized. Teaching just got easier!",Scholastic
0439731631,Scholastic Giant Apple Basket! Bulletin Board (TF3109),8.27,http://ecx.images-amazon.com/images/I/51s%2B%2BhHF5bL._SX300_.jpg,,"[['Books', 'Education & Teaching', 'Schools & Teaching', 'Instruction Methods']]",Giant Apple Basket Bulletin Board,Scholastic Teacher&#39;s Friend
0439733138,Scholastic TF7006 Multiplication-Division Learning Stickers,3.0,http://ecx.images-amazon.com/images/I/61Bb-8SkoBL._SY300_.jpg,,"[['Books', 'Education & Teaching', 'Schools & Teaching', 'Instruction Methods']]","These colorful, fun stickers give practical study information to reinforce basic language and math skills. Stick them on a desk top or stick them in a notebook or folder.",Scholastic
0439824222,Scholastic Teacher's Friend 100th-Day Doodle Bugs Bulletin Board (TF3131),9.99,http://ecx.images-amazon.com/images/I/51F1QOVJ2VL._SX300_.jpg,,"[['Books', 'Education & Teaching', 'Schools & Teaching', 'Instruction Methods']]","Count up to the 100th Day of School with this irresistible 32-foot long doodlebug! Just add a numbered, 1-100 body segment each day and watch your bug grow-along with your students' numeracy skills!  The set includes a head, tail, 100 body segments, and 2 celebratory balloons.",Scholastic Teacher&#39;s Friend
043982429X,Scholastic TF1277 Gingerbread Man Fairy Tale Masks with Easy-to-Read Play!,6.46,http://ecx.images-amazon.com/images/I/41V1bec18PL._SX300_.jpg,,"[['Books', 'Education & Teaching', 'Schools & Teaching']]","Masks measure approximately 8 1/2"" x 14""",Scholastic
0439824133,Scholastic TF1636 Monthly File Folder Organizer,8.27,http://ecx.images-amazon.com/images/I/51eaKJc2CGL._SY300_.jpg,,"[['Books', 'Education & Teaching', 'Schools & Teaching']]","Get Organized! Each set includes 12 Colorful File folders with a durable pop-up Storage Box to motivate you to organize your papers and instructional materials in two different categories of your choice. Each folder is covered with creative ideas and suggestions to enhance your planning and assist you in getting and staying organized in a fun way! 12 folders with box- January, February, March, April, May, June, July, August, September, October, November, December",Scholastic
043983869X,Little Red Tool Box: High-Frequency Word Tiles: Sight-Word Super Set,27.53,http://ecx.images-amazon.com/images/I/51GXyJc3loL._SX300_.jpg,,"[['Books', 'Education & Teaching', 'Schools & Teaching', 'Instruction Methods']]","Research shows that tactile learning experiences with literacy manipulatives sets the stage for reading success.One of the keys to reading success is fluency. Children build fluency by quickly recognizing the 220 dolch list words. Hands-on learning with these words builds vocabulary, word recognition, and fluency for primary readers. These tiles are great to use in conjunction with any core reading program. And they are perfect for whole-class, small group or  learning centers! Use a child centered, interactive approach with the 32-page teaching guide packed with complete how-tos PLUS dozens of activities and word-building reproducibles. Supports the No Child Left Behind and Reading First initiatives.",Scholastic
0439872073,Little Red Tool Box: JUMBO Fold-Out Magnetic Mats (5-pack),20.0,http://ecx.images-amazon.com/images/I/51-t1j36kCL._SY300_.jpg,,"[['Books', 'Education & Teaching', 'Schools & Teaching', 'Instruction Methods']]","Get your students on the road to reading success with the Little Red Toolbox Jumbo Fold-Out Magnetic Mats! It's one of the simplest-yet most versatile-literacy tools around! No matter what your students' skill level, there's something for everyone: from alphabet letter recognition to word, and even sentence, building. These magnetic mats open like a book. On the inside you'll find four columns for a variety of sorting and building activities, and on the outside you'll find a white board for open-ended tasks. The mats can be used in a 9-by-12-inch form or expanded to an 18-by-12-inch jumbo form. They also have write-on/wipe-off surfaces so all you need is a dry-erase marker to customize your literacy instruction even further! Includes a teaching guide with ideas for using the mats with other Little Red Toolbox literacy products!",Scholastic
0439909279,"Little Red Tool Box Sentence-Building Tiles Super Set, SC990927",37.0,http://ecx.images-amazon.com/images/I/515qU--kbUL._SY300_.jpg,,"[['Books', 'Education & Teaching', 'Schools & Teaching', 'Instruction Methods', 'Reading & Phonics']]","Research shows that kinesthetic experiences with literacy manipulatives help set the stage for reading and writing success. The Sentence-Building Tiles Super Set includes 212 magnetic foam, color-coded word tiles plus 16 punctuation tiles that can be combined to build thousands of meaningful sentences. Children develop reading fluency, understanding of word relationships, parts of speech, and beginning writing skills as they build simple sentences and practice reading them. Supports Reading First and the No Child Left Behind Initiatives.TARGET SKILLS:  Fluency, Vocabulary, Comprehension, Grammar & Writing&#x2022; Develop concepts of print and word relationships&#x2022; Explore usage of nouns, verbs and key parts of speech to create sentences&#x2022; Divide sentences into meaningful chunks (phrases &clauses;) to build text comprehension &#x2022; Automaticity of word recognition & usage to build fluency",Scholastic
0486475468,Dover Publications-Deco Tech Geometric Coloring Book,4.44,http://ecx.images-amazon.com/images/I/6188-peUeXL._SY300_.jpg,"{'Arts, Crafts & Sewing': 4643}","[['Books', ""Children's Books"", 'Activities, Crafts & Games', 'Activity Books']]","DOVER PUBLISHING-Deco Tech Geometric Coloring Book. Elaborate and innovative designs pulse with 3-D energy.  Coloring enthusiasts will be thrilled by these hypnotic, full-page patterns.  Inspired by mandala designs, the lively illustrations not only allow colorists creative freedom but also offer graphic artists a host of inspiring motifs.  Thirty original images will enchant children and adults alike. Green Edition, printed on recycled paper. Author: John Wik. Softcover book contains 30 pages. Made in USA.",Dover
0545119367,Scholastic TF7504 The Farm Magnetic Pattern Blocks,13.09,http://ecx.images-amazon.com/images/I/51DkdC5%2Bs4L._SX300_.jpg,,"[['Books', 'Education & Teaching', 'Schools & Teaching']]","Who knew learning could be so much fun! Children will have a blast exploring shapes and putting them together to make a duck, a cow, a scarecrow, or a bus, an airplane, a rocket, and more. And while children may think they&#x2019;re simply playing, they&#x2019;re actually learning about shapes, patterns, symmetry, problem solving, following directions, and more! A great way to give children a headstart in school!",Scholastic
0545196388,Scholastic TF2502 Months of the Year Chart,1.88,http://ecx.images-amazon.com/images/I/616lPo17ptL._SY300_.jpg,,"[['Books', 'Education & Teaching', 'Schools & Teaching', 'Instruction Methods']]",Reproducible pages on the back of each chart!,Scholastic
0545196361,Scholastic TF2500 Panda Birthday Chart,2.49,http://ecx.images-amazon.com/images/I/51iNgGHcpVL._SY300_.jpg,,"[['Books', 'Education & Teaching', 'Schools & Teaching', 'Instruction Methods']]",Reproducible pages on the back of each chart!,Scholastic
0545196396,Scholastic TF2503 Colors Chart,2.78,http://ecx.images-amazon.com/images/I/51ilgl9s3lL._SY300_.jpg,,"[['Books', 'Education & Teaching', 'Schools & Teaching', 'Instruction Methods']]",,Scholastic
054519640X,Scholastic TF2504 Shapes Chart,2.49,http://ecx.images-amazon.com/images/I/51jEwUHh3lL._SY300_.jpg,,"[['Books', 'Education & Teaching', 'Schools & Teaching', 'Instruction Methods']]",,Scholastic
0545196701,Scholastic TF2512 Monsters Welcome Chart,2.49,http://ecx.images-amazon.com/images/I/61TvmvUdMvL._SY300_.jpg,,"[['Books', 'Education & Teaching', 'Schools & Teaching', 'Instruction Methods']]",Reproducible pages on the back of each chart!,Scholastic
0615313604,KidzCalendar: A Fun Sticker Calendar for a Child's Busy World (Undated),9.99,http://ecx.images-amazon.com/images/I/51crKx0YWlL._SX300_.jpg,{'Toys & Games': 39027},"[['Books', ""Children's Books""]]","I bought this calendar for my niece and nephew, whose parents recently divorced. I really love the concept of this calendar because it has stickers for time spent with Mom &amp; time spent with Dad!! My niece was a bit upset about daddy not living with them anymore so this calendar really helped her feel better. She used the stickers to indicate all the days she gets to see Daddy and it helped her to see that she'll get to spend a lot of time with him. It also is great for any kids because there are times when a child is looking forward to doing something special with Mommy or Daddy and those stickers can be used that way, too! But there are stickers for every occasion, including birthdays, holidays, soccer practice. I think the best part about this calendar is that it can be started any time of the year because it is not dated. The child can use the stickers to indicate that the first month, and it can start in December or June for that matter, but will last a full year. This calendar is education in many ways as it teaches, basic calendar concepts, when certain holidays fall (like Thanksgiving - last Thursday in November) v. Independence Day always being 4th of July. It teaches responsibility by getting the children to be involved in their own schedules, like when practice is or when homework is due, and remembering someone's birthday or anniversary!! By having so many stickers it really keeps the child's interest because each month there are always stickers that can be used up for that month! This is a great gift, I only wish I had more kids to buy it for!! --Tony ""Toy Tripper"" --Tony ""Toy Tripper""I think this calendar is very educational and great in every way. It makes me wish my kids were young again! I bought four calendars, one for each of my young nieces and nephews! --Katie StrzyzewskiI am a grandmother of three. I bought one of these adorable calendars for each grandchild. It has made such a difference in their lives as well as mine and their parents! Now, everyone seems to know what everyone is doing and when! Very smart idea! --GammaofthreeWhat a great idea. My kids love all the stickers and I love how organized they are becoming. Thank you! --momsalwaysrightThese calendars make great gifts. I really love the fact that you can start using them at any time of the year! I have never seen a calendar like this before. I am ordering more! --hulagirl",KidzCalendar
