asin,title,price,imUrl,salesRank,categories,description,brand
0000031887,Ballet Dress-Up Fairy Tutu,6.79,http://ecx.images-amazon.com/images/I/314qZjYevsL.jpg,{'Sports &amp; Outdoors': 8547},"[['Clothing, Shoes & Jewelry', 'Girls', 'Clothing', 'Active', 'Active Skirts']]","This adorable basic ballerina tutu is perfect for dance recitals. Fairy Princes Dress up, costume, play and much. Comes individually packaged. Use for a Tinkerbell dress up accessory and watch her flutter excitedly for hours in her tutu. Very soft elastic waist that is trimmed in satin and stretches to fit from an average size 3 to a size 8.",Boutique Cutie
0681256036,Twilight Saga: New Moon Alice Chocker Necklace Wearable Prop Replica,17.59,http://ecx.images-amazon.com/images/I/51shUz8YTrL._SY300_.jpg,{'Toys & Games': 674790},"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Movie & TV Fan', 'Accessories']]",,NECA
0742403920,Rectangle Blank Puzzle (12-pack),3.6,http://ecx.images-amazon.com/images/I/51BgWs7DwIL._SY300_.jpg,{'Toys & Games': 16840},"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Costumes & Accessories']]","Designed to be easily decorated with crayons, pencils, paints, or markers, each set includes 12 puzzles measuring 5.5"" x 8"" each.",Instructional Fair
1412719410,My First Story Reader with 3-Book Sesame Street Library: In the Garden; So It Grows; Let's Pretend,32.41,http://ecx.images-amazon.com/images/I/51Cf%2B9-o3lL._SY300_.jpg,{'Toys & Games': 278281},"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Jewelry Accessories', 'Jewelry Boxes & Organizers', 'Jewelry Boxes']]","My First Story Reader with 3 Sesame Street Storybooks: So it Grows; Let's Pretend; In the Gardenwas created by developmental education experts and features stories for babies and toddlers ages 6 months to 3 years. The three interactive storybooks, featuring familiar Sesame Street characters, are designed for use in the My First Story Reader console (included).My First Story Reader uses two play options that teach the first steps to reading, sound identification, matching, shapes and colors. In the ""Read to Me Mode,"" children turn the pages to hear a friendly narrator. Fun sounds and lively music make the story come to life. In ""Activity Mode,"" children press the three big buttons to answer simple questions about colors and shapes.The three storybooks are spiral-bound and made of sturdy board pages that hold up to rough handling. Here is a quick synopsis of the collection, which features Elmo, Big Bird, Zoe, and more Sesame Street characters:So It Grows. Elmo and his friends discover plants, animals, and insects in nature, and learn how they grow from small to large.Let's Pretend. Children can join the Sesame Street crew as it ""sails the sea"" in the bath tub. Pretend a decorated paper bag is a puppet, turn an egg carton into a jewelry box, and have more imaginative adventures.In the Garden. Elmo takes his friends through the steps of preparing, planting, nurturing, and harvesting a garden.My First Story Reader with 3 Sesame Street Storybooks: So it Grows; Let's Pretend; In the Gardenconforms to the safety requirements of ASTM F963-03, EN71, and the safety requirements of Canadian Hazardous Products (Toys) Regulations. The unit is powered by three AAA batteries (included).",EDUCATORS RESOURCE
1620574128,Thinking Kids&#146;&reg; Math Pattern Block Picture Cards,5.99,http://ecx.images-amazon.com/images/I/51xzgyE4BpL._SY300_.jpg,{'Toys & Games': 36676},"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Costumes & Accessories']]","The Thinking Kids'(R) Math Pattern Block Picture Cards are a perfect way to bring hands-on learning in the classroom while supporting the Common Core State Standard for math. Pattern block cards are a colorful way to create familiar shapes while also building critical thinking skills and developing visual discrimination. This set includes 12 full-color cards measuring 8.5"" x 11"" each. Cards are large enough for young learners to place their pattern blocks right on top of the cards!",Carson-Dellosa
1848572972,Baby Kiss Book,1.49,http://ecx.images-amazon.com/images/I/511ym8yoWAL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Baby']]",,Little Tiger Press
7503681888,12 PCS Toy Story Figures Crocs Shoe Charm FIT Jibbitz,4.99,http://ecx.images-amazon.com/images/I/41pshKjc4tL._SY300_.jpg,{'Sports &amp; Outdoors': 177627},"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Shoe Care & Accessories', 'Shoe Decoration Charms']]","Press the holder of the Shoe Charms with a slight twist in the holes of the shoes.Everyone loves these charms. Now you can put these favorite charms on your croc style shoes. """,Toy Story
8511000135,Genuine Azabache Against Evil Eye Azabache &amp; Coral Para Los Malos Ojos,9.99,http://ecx.images-amazon.com/images/I/31cHwtHvmcL._SY300_.jpg,{'Home &amp; Kitchen': 290537},"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Novelty', 'Jewelry', 'Necklaces & Pendants']]","In Latin America, Azabaches are worn to protect against the Mal de Ojo, or evil eye. The evil eye is believed to result of excessive admiration or envious looks by others. Having newborn babies wear an azabache (a gold bracelet or gold pin with a black or red coral charm), is believed to protect them from the evil eye.",Gifts by Lulee/Baby
8866138096,Moleskine Luggage Extra Small Shell,16.62,http://ecx.images-amazon.com/images/I/31ffNyOykEL._SX342_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Travel Accessories', 'Packing Organizers']]",,Moleskine
8866138371,Moleskine Luggage Bag Organizer Laptop 13.5 Inch,50.39,http://ecx.images-amazon.com/images/I/31WT-NzbvJL._SX342_.jpg,{'Clothing': 169399},"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Travel Accessories', 'Packing Organizers']]",,Moleskine
