asin,title,price,imUrl,salesRank,categories,description,brand
B0000000ZW,Changing Faces,23.64,http://ecx.images-amazon.com/images/I/51H3Bp-3XwL._SX300_.jpg,{'Music': 68784},"[['CDs & Vinyl', 'Dance & Electronic'], ['CDs & Vinyl', 'Pop', 'Dance Pop'], ['CDs & Vinyl', 'R&B', 'Soul'], ['Digital Music', 'R&B', 'Soul']]",,
B00000023I,Classic Bluegrass,14.99,http://ecx.images-amazon.com/images/I/2128BRG98JL.jpg,{'Music': 282122},"[['CDs & Vinyl', 'Country', 'Bluegrass'], ['CDs & Vinyl', 'Country', ""Today's Country""], ['CDs & Vinyl', 'Folk'], ['CDs & Vinyl', 'Pop'], ['Digital Music', 'Country', 'Bluegrass']]",,Rebel Records
B0000002HZ,Too Late to Cry,15.48,http://ecx.images-amazon.com/images/I/61la66aBQoL._SY300_.jpg,{'Music': 72090},"[['CDs & Vinyl', 'Country', 'Bluegrass'], ['CDs & Vinyl', 'Country', 'Classic Country'], ['CDs & Vinyl', 'Country', ""Today's Country""], ['CDs & Vinyl', 'Folk'], ['CDs & Vinyl', 'Pop'], ['Digital Music', 'Country', 'Bluegrass']]","On the surface, Alison Krauss's 1987 Rounder debut is a well-executed, completely satisfying bluegrass album with both traditional and contemporary elements. Once you realize that the sublime singer and expert fiddler you hear is a mere 15 years old, it becomes extraordinary. True, hearing a 15-year-old sing about ""my whiskey on ice"" and other such mature themes is a bit disconcerting, but what amazes is not what she's singing about but the masterful command she has over her angelic voice. And her fiddle licks are even more impressive. The record simply oozes potential and poise, even if the best was yet to come.--Marc Greilsamer","KRAUSS,ALISON"
B0000002KB,Every Time You Say Goodbye,11.12,http://ecx.images-amazon.com/images/I/51WvRAcKbPL._SX300_.jpg,{'Music': 69588},"[['CDs & Vinyl', 'Country', 'Bluegrass'], ['CDs & Vinyl', 'Country', 'Classic Country'], ['CDs & Vinyl', 'Country', ""Today's Country""], ['CDs & Vinyl', 'Folk'], ['CDs & Vinyl', 'Pop'], ['Digital Music', 'Country', 'Alt-Country & Americana'], ['Digital Music', 'Country', 'Bluegrass']]","Over the course of her first albums, including her fourth, 1992'sEvery Time You Say Goodbye, Alison Krauss probably did more than any of her contemporaries to attract mainstream-country attention to bluegrass. A traditionalist might say this is because Krauss and her band, Union Station, offer a kind of ""bluegrass-lite"" that's cut with pop sensibility, absent any manic-fast picking, and awash in Krauss's goes-down-easy vocal. Nonetheless, this is a solid album that pushed Krauss deservedly further into the limelight. Highlights include the title track, Union Station banjo picker Ron Block's fine gospel number ""Shield of Faith,"" and the traditional instrumental ""Cluck Old Hen.""--Anders Smith-Lindall","KRAUSS,ALISON"
B0000002ME,Now That I've Found You: Collection,8.94,http://ecx.images-amazon.com/images/I/51FYnByOhSL._SX300_.jpg,{'Music': 2223},"[['CDs & Vinyl', 'Country', 'Bluegrass'], ['CDs & Vinyl', 'Country', 'Classic Country'], ['CDs & Vinyl', 'Country', ""Today's Country""], ['CDs & Vinyl', 'Folk'], ['CDs & Vinyl', 'Pop'], ['Digital Music', 'Country', 'Bluegrass']]","A poll-winning fiddler since her teens, Alison Krauss was an established bluegrass star when her label persuaded her to step out from her usual projects with Union Station, her crack band, and sanction this compilation of various band and solo guest performances. The ploy worked, yielding a wonderful, odds-beating crossover hit with Krauss's cover of &quot;Baby, Now That I've Found You,&quot; a carousing late-'60s pop chant transformed into a delicate, vulnerable declaration of love. Focusing on Krauss's lovely, yearning soprano, the track elevated the musician above her resolutely democratic role in her quintet, catapulting Krauss to the biggest bluegrass success story in over 30 years. Krauss has stayed true to her bluegrass roots, as well as to Union Station, but this cross-section of contemporary bluegrass songs, joyous gospel, and canny rock covers testifies to the young artist's luminous appeal.--Sam Sutherland","KRAUSS,ALISON"
B0000002LZ,Acoustics,13.53,http://ecx.images-amazon.com/images/I/514TfHqRGbL._SY300_.jpg,{'Music': 62295},"[['CDs & Vinyl', 'Country', 'Americana'], ['CDs & Vinyl', 'Country', 'Bluegrass'], ['CDs & Vinyl', 'Country', 'Classic Country'], ['CDs & Vinyl', 'Country', ""Today's Country""], ['CDs & Vinyl', 'Folk', 'Contemporary Folk'], ['CDs & Vinyl', 'Pop'], ['Digital Music', 'Country', 'Alt-Country & Americana'], ['Digital Music', 'Country', 'Bluegrass']]",,
B0000002O5,So Long So Wrong,13.31,http://ecx.images-amazon.com/images/I/51fCvnMIFxL._SX300_.jpg,{'Music': 11560},"[['CDs & Vinyl', 'Country', 'Bluegrass'], ['CDs & Vinyl', 'Country', 'Classic Country'], ['CDs & Vinyl', 'Country', ""Today's Country""], ['CDs & Vinyl', 'Folk'], ['CDs & Vinyl', 'Pop', 'Vocal Pop'], ['Digital Music', 'Country', 'Bluegrass']]","Many bluegrass musicians have incorporated contemporary elements into their work,  Jim & Jesse, the Osborne Brothers, and Mac Wiseman among them., but Krauss's contemporary bluegrass contains particularly heavy doses of pop, folk, and modern country. Whatever style she chooses, her flawless voice and her crack Union Station cohorts usually maintain a high standard. The instrumental &quot;Little Liza Jane&quot; and the traditional &quot;I'll Remember You, Love, In My Prayers&quot; prove their instrumental chops, and songs like &quot;No Place to Hide,&quot; with an impressive fiddle turn from Krauss herself, effectively mold modern elements into the bluegrass idiom. However, others such as &quot;It Doesn't Matter&quot; and &quot;Deeper Than Crying&quot; have very little to do with bluegrass at all. A mostly solid contemporary-bluegrass album, except when the contemporary drowns out the bluegrass.--Marc Greilsamer","KRAUSS,ALISON"
B00000030W,Mississippi Fred McDowell,16.24,http://ecx.images-amazon.com/images/I/41tsIe0GjpL._SY300_.jpg,{'Music': 21642},"[['CDs & Vinyl', 'Blues', 'Regional Blues', 'Delta Blues'], ['CDs & Vinyl', 'Pop'], ['Digital Music', 'Blues', 'Delta Blues']]","What would it be like to sit in the Como, Mississippi home of a Delta-blues master and hear him play and play? Well, that's exactly what this 1962 recording is; McDowell and his guitar both sing with power and beauty as you hear John Henry; Kokomo Blues; Shake 'Em On Down; Done Left Here; Someday Baby; Highway 61 20 tracks!","MCDOWELL,MISSISSIPP"
B0000002JR,I've Got That Old Feeling,15.1,http://ecx.images-amazon.com/images/I/51PiDWJ-bXL._SY300_.jpg,{'Music': 66476},"[['CDs & Vinyl', 'Country', 'Bluegrass'], ['CDs & Vinyl', 'Country', 'Classic Country'], ['CDs & Vinyl', 'Country', ""Today's Country""], ['CDs & Vinyl', 'Folk'], ['CDs & Vinyl', 'Pop'], ['Digital Music', 'Country', 'Bluegrass']]","At 14, child prodigy Alison Krauss signed to Rounder records, wooing critics and beguiling both bluegrass and country stalwarts with her nimble-fingered champion fiddling and inimitable otherworldly soprano. Though 1995'sNow That I've Found Youis credited as her mainstream breakthrough, 1990'sI've Got That Old Feelingbridges her remarkable career into adulthood, capturing the public's interest in bluegrass. Barely past the threshold of womanhood, Krauss possesses musical agility far beyond her years, as well as the soft sweetness of the girlhood blush. The efficacy with which she and her band approach each song is marrow deep and tenderly precise, be it on the banjo rave-up ""Will You Be Leaving"" or the multi-string delay-beat of ""Winter of a Broken Heart."" Witness to the promise of a stellar future is theFloyd Cramer-esque piano-led ""Tonight I'll Be Lonely Too,"" in which Krauss shines like the sun, her splendidly emotive tone and phrasing somewhat reminiscent of a youngDolly Parton.--Paige La Grone","KRAUSS,ALISON"
B000000346,Carolina Blue,13.35,http://ecx.images-amazon.com/images/I/51ecoMn86ZL._SY300_.jpg,{'Music': 954852},"[['CDs & Vinyl', 'Folk'], ['CDs & Vinyl', 'Jazz'], ['CDs & Vinyl', 'Pop', 'Singer-Songwriters'], ['Digital Music', 'Pop']]","Daryle Ryce is unique--a contemporary black woman singer-songwriter whose clearest influence is none other than James Taylor. On this 1989 album, Daryle's finely-crafted originals get spare, sensitive band arrangements which frame her warm vocals, nylon-string guitar and piano. Daryle Ryce is unique--a contemporary black woman singer-songwriter whose clearest influence is none other than James Taylor. On this 1989 album, Daryle's finely-crafted originals get spare, sensitive band arrangements which frame her warm vocals, nylon-string guitar and piano.This product is manufactured on demand using CD-R recordable media. Amazon.com's standard return policy will apply.",
