asin,title,price,imUrl,salesRank,categories,description,brand
0587168978,&quot;Daybreak&quot; Print (Unframed Paper Print 20x30),26.72,http://ecx.images-amazon.com/images/I/415hRb4C0TL._SX300_.jpg,{'Home &amp; Kitchen': 1707155},"[['Home & Kitchen', 'Artwork', 'Posters & Prints']]","Painter: Maxfield Parrish. Themes: . Horizontal Landscape Orientation. Art Type: Fine art print, canvas, framed wall art, giclee print & canvas. Country of Origin: USA. ISBN: 0-587-16897-8. All canvases ship ready to hang on 3/4 in. wood stretchers (2 in. for Heavy Duty), with the exception of unstretched canvas Maxfield Parrish (1870 - 1966) was an American painter and illustrator. He worked on commission on books, advertising campaigns, magazines, and even sculpture. He was famous for his ""girls on rocks"" but his work went well beyond that series.",Buyenlarge
0587218959,Look Pretty Have Fun - 12x18 Art Poster by Fashion Frocks,11.88,http://ecx.images-amazon.com/images/I/310M9-V-RrL.jpg,{'Home &amp; Kitchen': 3882566},"[['Home & Kitchen', 'Artwork', 'Posters & Prints']]",Fashion plates of the latest styles complete with sample fabric from a book sent only to retailers to choose their seasonal collections.,Buyenlarge
0587217189,"The Great McEwen, famous Scottish hypnotist 20x30 Poster Paper",16.95,http://ecx.images-amazon.com/images/I/51j27YQPyTL._SY300_.jpg,{'Home &amp; Kitchen': 4172092},"[['Home & Kitchen', 'Artwork', 'Posters & Prints']]",Philip Hartley McEwen on his American tour.,Buyenlarge
0615391206,Zoku Quick Pops Recipe Book,17.29,http://ecx.images-amazon.com/images/I/41EEhiqvnwL._SX300_.jpg,{'Kitchen & Dining': 3900},"[['Home & Kitchen', 'Kitchen & Dining', 'Kitchen Utensils & Gadgets', 'Specialty Tools & Gadgets', 'Ice Pop Molds']]","This book will help you master the art of creating Zoku Quick Pops faster than ever! With over 40 quick and delicious recipes, there's something for everyone to enjoy. Those with a penchant for light and healthy pops will love Just Peachy and Watermelon, while those with a love for decadent desserts will devour Marble Cheesecake and Key Lime Pie. The collection ranges from nostalgic favorites like Neapolitan and Mint Chip to trendy flavors like Pink Mojito and Chai.Also included is Zoku's original pop-making techniques, decorating ideas, and tips to inspire fellow Quick Pop enthusiasts to create their own unique recipes.By Jackie Zorovich, Kristina Sacci96 pages soft cover",Zoku
0618307354,Houghton-Mifflin 0-618-30735-4 Peterson Color In Book Wildflowers,9.3,http://ecx.images-amazon.com/images/I/51JRA51QNRL._SY300_.jpg,"{'Patio, Lawn & Garden': 70926}","[['Home & Kitchen', 'Artwork', 'Posters & Prints']]",,Houghton Mifflin
0641967969,6 pc Japanese Large Noodle Soup bowl set Sakura LB,51.89,http://ecx.images-amazon.com/images/I/41tSHQBWv-L._SX300_.jpg,{'Kitchen & Dining': 62139},"[['Home & Kitchen', 'Kitchen & Dining', 'Dining & Entertaining', 'Serveware', 'Serveware Accessories']]","Delicate cherry blossoms in stages from firm bud to full bloom animate this glazed earth tone bowl, making it appealing to the eyes as well as the palate. Meanwhile, a fuzzy dark ring lends a simplistic contrast to the sky blue exterior. Give a quaint, serene feel to your noodle soup or salad. Get your cherry blossom stoneware bowl fix with a set of six. Dishwasher and microwave safe. Made in Japan.",Unknown
0681795107,"Timolino PAB-46 16-Ounce Signature Travel Mug, Brushed Stainless",18.34,http://ecx.images-amazon.com/images/I/318Cy2lIdML._SY300_.jpg,{'Kitchen & Dining': 48172},"[['Home & Kitchen', 'Kitchen & Dining', 'Storage & Organization', 'Commuter Mugs & Tumblers']]",Signature Travel Mug is double wall insulated and can keep beverage hot or cold longer. Fits most auto beverage trays. Available in 6 different colors.,Timolino
0823085511,Kumihimo Wire Jewelry: Essential Techniques and 20 Jewelry Projects for the Japanese Art of Braiding,11.87,http://ecx.images-amazon.com/images/I/51XSW41FC8L._SY300_.jpg,"{'Arts, Crafts & Sewing': 23341}","[['Home & Kitchen', 'Artwork', 'Posters & Prints']]","In ancient Japan, beautiful yet functional cords made with the traditional braiding art of kumihimo adorned everything from kimonos to samurai armor to prayer scrolls. InKumihimo Wire Jewelry,innovative jewelry artist Giovanna Imperia offers a fresh twist on this time-honored technique, adapting it to create stunning wire jewelry.&#160;In addition to a concise history of kumihimo and an overview of its essential materials, tools, and techniques, readers will learn the basics of this braiding method, plus how to create 20 striking projects--stylish bracelets, rings, earrings, and necklaces--all supported with detailed, step-by-step instructions and illustrations.&#160;This comprehensive book, which also includes pieces by prominent kumihimo jewelry artists from around the world, will inspire jewelry makers, beaders, and wireworkers at all skill levels to take their craft in a vibrant new direction.",Random House
0912696591,Wilton Decorating Cakes Book,14.26,http://ecx.images-amazon.com/images/I/51SrvkbXJ5L._SY300_.jpg,{'Kitchen & Dining': 9690},"[['Home & Kitchen', 'Kitchen & Dining', 'Bakeware', 'Baking & Cookie Sheets']]",This exciting book presents what Wilton has  learned in 78 years of teaching cake decorating in an easy-to-follow format that reflects today's lifestyles.  Decorating Cakes is  designed to appeal to anyone who wants to make  great-looking cakes for families and friends.,Wilton
0922658536,Flickback 1953 Flickback Mini-Book * Commemorative Year Gift MBS1953,11.0,http://ecx.images-amazon.com/images/I/514Ha15nafL._SY300_.jpg,{'Home &amp; Kitchen': 1622584},[['Home & Kitchen']],"Take a trip down memory lane with this fun and factual blast from the past! Our new, full-color minibook comes packed with a year's worth of rare pictures, stories and ads! Thrill to the movies, music, TV & radio, headline news, people, sports, fads and events that changed our lives forever.64 pages, hardcover 4 1/4"" x 6 1/4""",
