asin,title,price,imUrl,salesRank,categories,description,brand
0634061801,50 Licks Blues Style  - DVD,12.49,http://ecx.images-amazon.com/images/I/51zPYfTtFiL._SY300_.jpg,{'Books': 108256},"[['Movies & TV', 'TV'], ['Musical Instruments', 'Instrument Accessories', 'Guitar & Bass Accessories']]","Unlock the secrets of blues guitar! Ace session guitarist Mat Gurman teaches budding bluesmasters 50 terrific phrases, demonstrating licks for dominant and minor blues progressions, turnarounds, intro licks, ending licks, stop time licks and many more. He also shows players the classic techniques used in blues guitar, such as: bends, pull-offs, hammer-ons, slides, slurs, vibrato, muted string raking and more! Each lick is played in context, then demonstrated slowly with full explanations of every technique used. Includes an instructional booklet. 59 minutes.",Hal Leonard
0739042726,Victor Wooten Super Bass Solo Technique,22.36,http://ecx.images-amazon.com/images/I/51DnbcmA6DL._SY300_.jpg,{'Movies & TV': 285242},"[['CDs & Vinyl', 'Rock'], ['CDs & Vinyl', 'Special Interest', 'Instructional'], ['Movies & TV', 'TV'], ['Musical Instruments', 'Instrument Accessories', 'General Accessories']]","Victor Wooten is recognized as one of the world's greatest electric bassists. Considered by many to be the most influential bassist since Jaco Pastorius, Victor is best known for his work with the Grammy-winning supergroup B&#xE9;la Fleck & The Flecktones. Along with his acclaimed solo recordings, Victor has performed with artists like Branford Marsalis, Mike Stern, Bruce Hornsby, Bootsy Collins, Chick Corea, Dave Matthews, Prince, Will Lee, T.M. Stevens, Gov t Mule, Susan Tedeschi, Steve Bailey, Oteil Burbridge, Scott Henderson and Steve Smith.     In this DVD, Victor breaks down each of the techniques he employs to create his incredible style. Victor covers slapping, tapping, grooving and improvising in detail. Segments include live performances with a band; interviews dealing with technique, influences, and motivation; and a segment on equipment.   Special Features include: Candid video footage from Victor s archives  Victor and Steve Bailey jamming  A preview from the Jaco Pastorius Modern Electric Bass DVD",Alfred
0739045067,Scott Henderson  Jazz-Rock Mastery,27.14,http://ecx.images-amazon.com/images/I/41T5-x0wghL._SY300_.jpg,{'Movies & TV': 62656},"[['CDs & Vinyl', 'Jazz'], ['CDs & Vinyl', 'Special Interest', 'Instructional'], ['Movies & TV', 'TV'], ['Musical Instruments', 'Instrument Accessories', 'General Accessories']]","Scott Henderson studied arranging and composition at Florida Atlantic University and later studied at the Guitar Institute of Technology (G.I.T.) in Hollywood, California where he is presently an instructor.",Alfred
073904852X,The Zen of Screaming 2 (DVD),18.25,http://ecx.images-amazon.com/images/I/51Wyfhbx-UL._SY300_.jpg,{'Movies & TV': 50166},"[['Movies & TV', 'TV'], ['Musical Instruments', 'Instrument Accessories', 'General Accessories']]","Alfred is pleased to distribute the second release in this best-selling vocal series,The Zen of Screaming 2.Moving a step beyond the basics of good vocal production learned inThe Zen of Screaming, viewers now tackle the finer poin",Alfred
0739057561,Don Mock's Mastering the Dominant Chord,15.95,http://ecx.images-amazon.com/images/I/51jzJD1uvcL._SY300_.jpg,{'Musical Instruments': 18688},"[['Musical Instruments', 'Instrument Accessories', 'General Accessories', 'Sheet Music Folders']]",Alfred Music Publishing is the worlds largest educational music publisher. Alfred produces educational#44; reference#44; pop#44; and performance materials for teachers#44; students#44; professionals#44; and hobbyists spanning every musical instrument#44; style#44; and difficulty level. This powerful book and audio lesson will expand your knowledge of not only the familiar V dominant 7th#44; but all of the secondary dominant 7ths that can be found in major and minor keys. Join Don Mock as he builds master scales for each dominant 7th and shows you the best voicings and the theory behind how they function. You ll also explore the subject of extensions and alterations that can be added to dominants and the two basic ways dominants operate which are static and functioning. You ll play them in progressions and tunes and learn sample solos that demonstrate the correct scales#44; arpeggios and melodies for the various dominants. Discover why the study of dominant 7th chords will offer you the keys to the kingdom for truly understanding the workings of music. This one magical little chord gives music it s movement#44; energy and tension. Knowing how dominants work will also greatly improve your dealings with other chord types including major and minors.,Alfred
0739069713,Dimebag Darrell's Riffer Madness,19.99,http://ecx.images-amazon.com/images/I/51vmxF-b4PL._SY300_.jpg,{'Movies & TV': 95463},"[['Movies & TV', 'TV'], ['Musical Instruments', 'Instrument Accessories', 'General Accessories', 'Sheet Music Folders']]","This long-awaited DVD tribute to the godfather of modern metal is finally here. Based on Dime's best-selling instructional book,Riffer Madness, this DVD is hosted by Dime's co-writer, good friend, and protege, metal maestro Nick Bowcott. It featur",Alfred
0739079883,"Alfred's Kid's Guitar Course, Complete Starter Pack: Everything You Need to Play Today!",97.65,http://ecx.images-amazon.com/images/I/51tExUe58IL._SY300_.jpg,{'Musical Instruments': 3729},"[['Musical Instruments', 'Instrument Accessories', 'General Accessories', 'Sheet Music Folders']]",,Alfred Music Publishing
0739075934,Billy Martin's Life on Drums (DVD),16.17,http://ecx.images-amazon.com/images/I/51EEBWg8qKL._SY300_.jpg,{'Movies & TV': 202474},"[['Movies & TV', 'TV'], ['Musical Instruments', 'Instrument Accessories', 'General Accessories']]","From the ears, eyes, and hands of renowned percussionist and educator Billy Martin (Medeski Martin & Wood), Life on Drums is a striking examination of the drummer's art, captivatingly rendered with cinematic grace and intrigue. Equally relevant to newcomers as it is to experienced musicians, this DVD combines candid, wide-ranging conversations with Martin's first drum teacher, Allen Herman, and beautifully filmed performances of Martin's compositions for percussion ensemble and improvised trap set solos and duets. The film's distinct elements work together to impart a refreshing approach to instruction that prizes the creative and the intuitive over the merely technical. The resulting film fiery and passionate yet practical and insightful is a riveting extension of Martin's open-ended approach to percussion, improvisation, and music.",Alfred
0767851013,Little Women (Collector's Series),14.97,http://ecx.images-amazon.com/images/I/51Dh-cFqKtL._SY300_.jpg,{'Movies & TV': 4249},"[['Movies & TV', 'Movies'], ['Musical Instruments', 'Studio Recording Equipment', 'Computer Recording']]","The flaws are easily forgiven in this beautiful version of  Louisa May Alcott's novel. A stirring look at life in New England during  the Civil War,Little Womenis a triumph for all involved. We follow one family as  they split into the world, ending up with the most independent, the  outspoken Jo (Winona Ryder). This time around, the dramatics and  conclusions fall into place a little too well, instead of finding life's  little accidents along the way. Everyone now looks a bit too cute and oh,  so nice. As the matron, Marmee, Susan Sarandon kicks the film into a  modern tone, creating a movie alive with a great feminine sprit. Kirsten  Dunst (Interview with the Vampire) has another showy role. The young  ensemble cast cannot be faulted, with Ryder beginning the movie in a role  akin to light comedy and crescendoing to a triumphant end worthy of an  Oscar.--Doug Thomas",Sony
0786615303,Premium Clarke Tinwhistle-Key of C,10.99,http://ecx.images-amazon.com/images/I/31uQHkB667L._SX300_.jpg,{'Musical Instruments': 15634},"[['Musical Instruments', 'Wind & Woodwind Instruments', 'Folk & World', 'Whistles']]","This &#34;original&#34; Clarke tinwhistle is available in the keys of C and D. No other whistle can match its clear, flute-like tone quality. This &#34;basic&#34; Clarke tinwhistle is a valuable teaching aid for young children, while its musical range makes it a very flexible tool in the hands of accomplished musicians. Its consistently reliable and durable construction make it eminently suitable for today's rough-and- tumble conditions in the classroom, the touring band, and the recording studio. Each whistle is packaged in a premium gift box. Clarke Tinwhistles do not contain lead. They all have the Standard U.S. ASTM F963-07 certificate of compliance.",Clarke Tinwhistle Co.
0849707692,KJOS Standard Of Excellence Book 2 Enhanced Oboe,3.77,http://ecx.images-amazon.com/images/I/31JnMAZNL1L._SY300_.jpg,{'Musical Instruments': 88982},"[['Musical Instruments', 'Instrument Accessories', 'General Accessories']]","The Standard of Excellence ENHANCED Comprehensive Band Method Books 1 & 2 combines a strong performance-centered approach with music theory, music history, ear training, listening, composition, improvisation, and interdisciplinary and multicultural studies. Each book comes with two CDs containing all the full band accompaniments and the revolutionary iPAS Practice and Assessment Software. Directors will welcome the complete accompaniments and inspiring software. Students will find the new package makes practicing not only fun Ai but effective, too! The result is the most complete band method available anywhere.Features include: Full color drawings and color-coding of important text and music motivate and inform. Three starting systems help ensure positive results in any beginning situation. FOR ... ONLY exercises (i.e. FOR FLUTES ONLY) offer idiomatic solutions to the unique challenges of each instrument. Excellerators (advanced supplemental exercises) reinforce and enrich performance basics. A nine page FOR OBOES ONLY starting system gives beginners a solid foundation for learning in the full band setting. Expanded French Horn and Pe",KJOS
0849734339,KJOS Bach And Before for Strings Violin,3.95,http://ecx.images-amazon.com/images/I/31iWZGFsgtL._SY300_.jpg,{'Musical Instruments': 29879},"[['Musical Instruments', 'Instrument Accessories', 'General Accessories', 'Sheet Music Folders']]","Bach and Before for Strings is a versatile collection of 19 Bach chorales. The chorales range in difficulty from easy to very sophisticated and are suitable for year two through high school string orchestras. Great for warm-up and teaching, as well as performance.Each chorale is presented in the Kjos Multiple Option Scoring System with all four voice parts (soprano, alto, tenor, and bass) presented in each part book. This allows for unprecedented teaching oppourtunities. Unison playing will help develop the quality of string orchestra's sound, and is the foundation of playing in tune. As additional parts are added, students learn the nuances of harmony and expressive playing.Students love playing chorales, because they sound so good! Teachers will love using the power of unison playing and four part harmony to develop superior intonation and expressive playing in their string ensembles.",KJOS
0849706807,KJOS Bach And Before for Band Trumpet,5.58,http://ecx.images-amazon.com/images/I/31of4Cx1bCL._SY300_.jpg,{'Musical Instruments': 13084},"[['Musical Instruments', 'Instrument Accessories', 'General Accessories']]",Save BIG when you buy today!,KJOS
0849734355,KJOS Bach And Before for Strings Cello,4.45,http://ecx.images-amazon.com/images/I/31epJtJkSNL._SY300_.jpg,{'Musical Instruments': 29957},"[['Musical Instruments', 'Instrument Accessories', 'General Accessories', 'Sheet Music Folders']]","Bach and Before for Strings is a versatile collection of 19 Bach chorales. The chorales range in difficulty from easy to very sophisticated and are suitable for year two through high school string orchestras. Great for warm-up and teaching, as well as performance.Each chorale is presented in the Kjos Multiple Option Scoring System with all four voice parts (soprano, alto, tenor, and bass) presented in each part book. This allows for unprecedented teaching oppourtunities. Unison playing will help develop the quality of string orchestra's sound, and is the foundation of playing in tune. AS additional parts are added, students learn the nuances of harmony and expressive playing.Students love playing chorales, because they sound so good! Teachers will love using the power of unison playing and four part harmony to develop superior intonation and expressive playing in their string ensembles.",KJOS
