asin,title,price,imUrl,salesRank,categories,description,brand
0439492335,Scholastic TF3078 Happy Easter! Bulletin Board,9.99,http://ecx.images-amazon.com/images/I/61KmH%2BHcDSL._SX300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]","Decorate for the Spring season. Includes 1 Extra Large Easter Bunny (35&#x201D; tall), 4 Large Easter Characters, 1 &#x201C;Happy Easter&#x201D; Sign (48&#x201D; long), 8 Butterflies, and 36 Student Easter Eggs. 50 pieces.",Scholastic
0439492602,Scholastic TF3281 U.S. Coins and Bills Accent Punch-Outs,8.67,http://ecx.images-amazon.com/images/I/61mhUfavR1L._SY300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]","Accents for your bulletin boards! Use as name tags, notes, rewards and much more! 84 pieces.",Scholastic
043949950X,Scholastic Alphabet-Number Line (Standard) Name Plates (TF1528),11.25,http://ecx.images-amazon.com/images/I/41jubJKsyWL._SX300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Desk Tapes & Nameplates']]","Flat, large 12"" x 4"" size name plates. Extra large area to write students' names! 36 name plates per pack.",Scholastic
043950015X,"Scholastic TF3256 Bees, Bugs &amp; Butterflies Accent Punch-Outs",8.23,http://ecx.images-amazon.com/images/I/61yI7rMng0L._SY300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]","Accents for your bulletin boards! Use as name tags, notes, rewards and much more! 66 pieces.",Scholastic
0439492874,Scholastic Teacher's Friend Character Signs! Bulletin Board (TF3086),9.99,http://ecx.images-amazon.com/images/I/51PKanTzrdL._SX300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]","28 colorful, common, good-character signs with simple definitions. Complete with a &#x201C;We Have Character!&#x201D; banner. Use these signs to promote good discipline, citizenship, and manners in the classroom and at home.",Scholastic Teacher&#39;s Friend
0439492831,Scholastic Teacher's Friend Big Shapes Alphabet Bulletin Board (TF3083),17.99,http://ecx.images-amazon.com/images/I/51mqyeTESAL._SX300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]","A fun, colorful way to teach letter recognition, beginning letter sound, and new vocabulary words! Extra large display that includes 26 big characters, one for each letter of the alphabet.",Scholastic Teacher&#39;s Friend
0439504147,Scholastic  Super School Tool Standard Cursive Name Plates Upper Grades (TF1552),6.33,http://ecx.images-amazon.com/images/I/41f5mBIYGQL._SY300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Desk Tapes & Nameplates']]","Great teaching tool for every desk! Extra large name plate that also teaches standard and metric measurement, commutative multiplication facts, Standard Cursive alphabet with directional arrows, place value, continents, planets and directional compass. Large area to write both first and last names. No need to have both name plates and student desk tapes! Everything is included in one super duper, school tool name plate!",Scholastic Teacher&#39;s Friend
043949284X,Scholastic Teacher's Friend Around the World Kids! Bulletin Board (TF3081),9.99,http://ecx.images-amazon.com/images/I/516UA%2BuLR-L._SX300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]","Colorful display 15 different children in national costumes. The countries represented are: Mexico, Kenya, Republic of the Congo, Argentina, India, Japan, China, Netherlands, Scotland, Canada, United States, Saudi Arabia, Israel, Australia and Germany. Country signs are also included.",Scholastic Teacher&#39;s Friend
0439499860,Scholastic  Super School Tool Modern Manuscript Name Plates Primary Grades (TF1553),8.89,http://ecx.images-amazon.com/images/I/31JCj0r05PL._SY300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Desk Tapes & Nameplates']]","Great teaching tool for every desk! Extra large name plate with a large area to write both first and last names. No need to have both name plates and student desk tapes! Everything is included in one super duper, school tool name plate!",Scholastic Teacher&#39;s Friend
0439505453,Scholastic TF2140 USA Map Chart - 17x 22-Inches,1.95,http://ecx.images-amazon.com/images/I/51L9KRZqsWL._SY300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Teaching Materials', 'Awards & Incentives Supplies']]",Reproducible pages on the back of each chart!,Scholastic
0439499704,Scholastic Alarm Clock Chart (TF2127),2.49,http://ecx.images-amazon.com/images/I/61lIG5wZpKL._SY300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Teaching Materials', 'Awards & Incentives Supplies']]",Reproducible pages on the back of each chart!,Scholastic
0439492882,Scholastic Teacher's Friend Nursery Rhymes Posters! Bulletin Board (TF3087),9.14,http://ecx.images-amazon.com/images/I/51y85ZW88DL._SX300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Presentation Boards', 'Bulletin Boards']]","Ten posters, (each 12""  x 18"") one each for the most popular nursery rhymes. Set includes: Jack and Jill, Humpty Dumpty, Little Miss Muffet, Ba Ba Black Sheep, Hickory Dickory Dock, Jack Be Nimble, Little Boy Blue, Hey Diddle Diddle, Rub A Dub Dub, and Mary, Mary Quite Contrary",Scholastic Teacher&#39;s Friend
0439504406,Scholastic My Schoolwork Folder! Pocket Folder (TF1728),2.21,http://ecx.images-amazon.com/images/I/51WeH3yipUL._SY300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]","Two-pocket folders for organizing 8 1/2"" X 11"" papers. Plastic-coated for durability! Use a fine-point, permanent marker to write on these plastic-coated folders. Write-on, wipe-off markers can also be used. Now, with motivational, instructional check lists on the back of each folder!",Scholastic
0439492092,Scholastic Teacher's Friend Happy Thanksgiving! Bulletin Board (TF3073),10.25,http://ecx.images-amazon.com/images/I/615CtG9RW%2BL._SX300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]",Celebrate the Thanksgiving holiday with this delightful bulletin board!,Scholastic Teacher&#39;s Friend
0439505380,Scholastic School Time Incentive Chart (TF2129),2.49,http://ecx.images-amazon.com/images/I/61WHgqoS8JL._SY300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]",Reproducible pages on the back of each chart!,Scholastic
0439505461,Scholastic World Map Chart (TF2141),3.74,http://ecx.images-amazon.com/images/I/51apNcRijZL._SX300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]",Reproducible pages on the back of each chart!,Scholastic
0439505771,Scholastic Homework Incentive Chart (TF2203),2.49,http://ecx.images-amazon.com/images/I/61WE3XBnP0L._SY300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Teaching Materials', 'Awards & Incentives Supplies']]",Reproducible pages on the back of each chart!,Scholastic
0439505658,Scholastic Bear Helper Chart (TF2174),3.74,http://ecx.images-amazon.com/images/I/51VTSKaUTHL._SY300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Pocket Charts']]",Reproducible pages on the back of each chart!,Scholastic
043950435X,Scholastic My Homework Folder! Pocket Folder (TF1723),2.21,http://ecx.images-amazon.com/images/I/51ZFe58LjdL._SY300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Filing Products', 'Folders', 'Project Folders']]","Two-pocket folders for organizing 8 1/2"" X 11"" papers. Plastic-coated for durability! Use a fine-point, permanent marker to write on these plastic-coated folders. Write-on, wipe-off markers can also be used. Now, with motivational, instructional check lists on the back of each folder!",Scholastic
0439505747,Scholastic Ocean Adventure! Incentive Chart (TF2199),3.74,http://ecx.images-amazon.com/images/I/61%2BB85VbdfL._SY300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Teaching Materials', 'Awards & Incentives Supplies']]",Reproducible pages on the back of each chart!,Scholastic
0439509769,Scholastic Place Value Bulletin Board (TF3037),10.93,http://ecx.images-amazon.com/images/I/41Aum5wIUuL._SX300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Presentation Boards', 'Bulletin Boards']]","Large, colorful place value display to the trillionths place! Place Value display measures 10 ft. x 9 in.! Large, colorful signs showing Roman Numerals, Common Squares, Square Roots, Fraction and Decimal Equivalents are also included! Great for the middle school classroom or math lab! 6 pieces.",Scholastic Teacher&#39;s Friend
0439506042,Scholastic Counting 1-100 Math Wall Chart (TF2189),3.74,http://ecx.images-amazon.com/images/I/61hrAiflQ7L._SX300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]",Reproducible pages on the back of each chart!,Scholastic
0439501873,Scholastic TF3532 Valentines! Printer Paper,4.5,http://ecx.images-amazon.com/images/I/51wdmNt1x1L._SY300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Paper', 'Business Paper Products', 'Stationery']]","Colorful printer paper that can be used as awards, invitations, notes to parents, classroom newsletters, and more. Two writing templates are included&#x2014;one for the primary grades and one for the upper grades. Measures 8 1/2"" x 11"". 50 sheets per pack.",Scholastic
0439505399,Scholastic Weather Dial Chart (TF2131),2.88,http://ecx.images-amazon.com/images/I/61h18l9xiOL._SY300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]",Reproducible pages on the back of each chart!,Scholastic
043950578X,Scholastic Reading Is Succeeding Incentive Chart (TF2204),2.49,http://ecx.images-amazon.com/images/I/61vJYM%2BMq2L._SY300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Teaching Materials', 'Awards & Incentives Supplies']]",Reproducible pages on the back of each chart!,Scholastic
0439505763,Scholastic Super Words Incentive Chart (TF2202),5.87,http://ecx.images-amazon.com/images/I/61aWmQuqTYL._SY300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]",Reproducible pages on the back of each chart!,Scholastic
0439503426,Scholastic TF3299 Classroom Management Accent Punch-Outs,4.04,http://ecx.images-amazon.com/images/I/61IBfGh9nJL._SY300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]","Accents for your bulletin boards! Use as name tags, notes, rewards and much more! 48 pieces.",Scholastic
0439505992,Scholastic Good Manners Chart (TF2229),3.74,http://ecx.images-amazon.com/images/I/51pJVWRQZrL._SY300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]",Reproducible pages on the back of each chart!,Scholastic
0439537886,Scholastic Teacher's Friend Classroom Tree! Bulletin Board (TF3084),13.82,http://ecx.images-amazon.com/images/I/51ahSPR05JL._SX300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]","Large, bare tree that measures 47&#x201D; wide and is adjustable from 41&#x201D; to 65&#x201D; tall. The display comes complete with 32 spring green leaves and 32 autumn leaves.",Scholastic Teacher&#39;s Friend
0439549426,Scholastic Happy Birthdays! Chart (TF2216),3.74,http://ecx.images-amazon.com/images/I/51lzDwJrUgL._SY300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]",Reproducible pages on the back of each chart!,Scholastic
0439549434,Scholastic Star Students Incentive Chart (TF2207),3.74,http://ecx.images-amazon.com/images/I/61PXdGlkdHL._SY300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]",Reproducible pages on the back of each chart!,Scholastic
0439549213,Scholastic Teacher's Friend Seasonal Calendar Bulletin Board (TF3008),10.56,http://ecx.images-amazon.com/images/I/51c%2BG0rbzDL._SX300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]","A full size, colorful calendar is included with 12 extra cute monthly headers, numbers 1-31 and special days symbols that can be placed on the calendar.",Scholastic Teacher&#39;s Friend
0439549337,Scholastic Teacher's Friend High Frequency Level 3 Word Wall Words (TF2403),6.39,http://ecx.images-amazon.com/images/I/41XoPVWjCoL._SX300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Desk Accessories & Workspace Organizers', 'Mouse Pads & Wrist Rests', 'Mouse Pads']]",These fantastic Word Wall Word Cards are easy to store and sort. The cards are laminated on the front for durability! Each card is a standard shape and can be used on Word Walls or in Pocket Charts. Each set of words are color coded and the words are framed to emphasize the ascender and descender letters!,Scholastic Teacher&#39;s Friend
043954906X,Scholastic TF3271 Western Round Up Accent Punch-Outs,4.79,http://ecx.images-amazon.com/images/I/51Xy47FeQZL._SY300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]","Accents for your bulletin boards! Use as name tags, notes, rewards and much more! 108 pieces.",Scholastic
0439654726,Scholastic Teacher's Friend Books of the Bible! Bulletin Board (TF3101),7.57,http://ecx.images-amazon.com/images/I/51f-vOQ3q6L._SX300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]","Help students learn the names and order of the books of the Bible! This set makes a long bookshelf of 10 feet X 18 inches, or two shorter bookshelves. The books are color coded to the area of the Bible they represent.",Scholastic Teacher&#39;s Friend
0439654939,Scholastic TF3302 Tall Green Grass Jumbo Borders,4.99,http://ecx.images-amazon.com/images/I/51jNx3oOZtL._SX300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]",12 feet long!,Scholastic
043965467X,Scholastic Teacher's Friend Circus Big Top! Bulletin Board (TF3098),9.95,http://ecx.images-amazon.com/images/I/51eXy3OKr1L._SX300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]","Set includes three clowns, elephant, elephant trainer, lion, lion tamer, tiger, ringmaster, horseback rider, two monkeys, performing seal, bear, and poodle. Fifteen student popcorn bags and cotton candy are included.",Scholastic Teacher&#39;s Friend
0439654920,Scholastic TF3301 Ocean Waves Jumbo Borders,10.21,http://ecx.images-amazon.com/images/I/41DbjIsz2pL._SX300_.jpg,,"[['Office Products', 'Office & School Supplies', 'Education & Crafts', 'Arts & Crafts Supplies', 'Classroom Decorations']]",12 feet long!,Scholastic
