asin,title,price,imUrl,salesRank,categories,description,brand
0972585419,Feathered Phonics The Easy Way To Teach Your Bird To Speak Volume 1: 96 Words and Phrases,0.92,http://ecx.images-amazon.com/images/I/61tAtKN0blL._SY300_.jpg,{'Pet Supplies': 21104},"[['Pet Supplies', 'Pet Supplies: International Shipping Available']]","Volume 1: 96 Words & Phrases! This is the CD that has birds talking! It's easy to teach your bird to speak with Feathered Phonics! Simply choose the track you wish to teach and press ""repeat"" on your CD player. CD includes 96 tracks of words and phrases including Hello, Goodbye, I love you, Here Kitty Kitty and much more!Volume 1: 96 Words and Phrases",Pet Media
0975412809,Notes From The Grooming Table by Melissa Verplank,59.95,http://ecx.images-amazon.com/images/I/615swQkXKbL._SY300_.jpg,{'Pet Supplies': 1960},"[['Pet Supplies', 'Small Animals', 'Grooming']]","A quality, how-to grooming book that is an exceptional and easy-to-read instructional resource for both new and seasoned grooming professionals. Developed by 20-year veteran groomer and master stylist, Melissa verplank, this tutorial provides step-by-step guidelines on basic and advanced grooming techniques for all breeds. Showcases exceptional artistic representation based on the ideal, written breed standard, and features both line drawings and photographs to accompany detailed instructional notes. Topics include general anatomy, tools and equipment, bathing, drying, clipping, brushing, scissoring, carding, hand stripping, nails and ears, feet and pads, and bathing directions for each coat type. 495 pages, spiral bound, soft cover. Measures 11-inch length by 9-1/2-inch width by 1-1/3-inch height.",Melissa Verplank
0979699967,Simply Charming Circles,1.45,http://ecx.images-amazon.com/images/I/31QvzPLVbHL.jpg,{'Pet Supplies': 157918},[['Pet Supplies']],,
1083813210,Lee`s Aquarium 10gal Undergravel Filter 10 X 20,13.13,http://ecx.images-amazon.com/images/I/418Na%2BQKZfL._SX300_.jpg,{'Pet Supplies': 126396},"[['Pet Supplies', 'Fish & Aquatic Pets', 'Pumps & Filters', 'Filters']]",A trouble free biological filter designed with adjustable 1&quot; dia&#046; uplift tubes for better water circulation and multi&#045;plate construction for easy installation&#046; Includes airline tubing and Discard&#045;A&#045;Stone and reatures the fish&#045;saver elbow&#046; Advanced design allows a separate plate installation and also has optional flow&#045;thru set&#045;up for use with a power head&#046; Made of special quality plastic which resists splitting and cracking&#046;Size 10&quot; x 20&quot;Packaging Boxed,Lee
1576103005,Photoshop 5 Filters F/X,98.05,http://ecx.images-amazon.com/images/I/51XX61E2DJL._SY300_.jpg,{'Pet Supplies': 247763},"[['Pet Supplies', 'Dogs', 'Collars, Harnesses & Leashes']]",,Dean &amp; Tyler
1576104125,Network+ Exam Prep,96.15,http://ecx.images-amazon.com/images/I/51KKS8QP7FL._SY300_.jpg,{'Pet Supplies': 216945},"[['Pet Supplies', 'Dogs', 'Training & Behavior Aids', 'Training Collars']]","Covers a wide range of vendor-neutral networking technologies and skills such as configuring, installing, troubleshooting and maintaining network interface cards, hubs, routers, switches, servers, RAID technologies and clustering technologies. Focuses on necessary management skills including managing a support/help desk center, supporting end users, and working in conjunction with management and other technicians. Discusses developing a documentation system and Standard Operating Procedures (SOP).",Dean &amp; Tyler
1576102831,Visual Basic 6 Black Book,61.44,http://ecx.images-amazon.com/images/I/51VG0RX2EQL._SY300_.jpg,{'Pet Supplies': 98429},[['Pet Supplies']],"Dean & Tyler Bundle of 2 items - One ""B&B;"" Collar, 18"" By 1 1/2"" With/Plus One Matching ""Brady Bunch"" Leash, 5-Feet with Solid Brass Hardware - Both product are BLACK.",Dean &amp; Tyler
1576102734,QuarkXpress 4 Enhanced,93.23,http://ecx.images-amazon.com/images/I/51WYYFM5K3L._SY300_.jpg,{'Pet Supplies': 460470},"[['Pet Supplies', 'Dogs', 'Collars, Harnesses & Leashes', 'Leashes', 'Basic Leashes']]","Written for users with previous experience in QuarkXPress 4,QuarkXPress 4 In Depthbuilds upon fundamental design and layout knowledge by thoroughly exploring and detailing the software's many features and components. New users should be mindful about selecting this book over a more introductory-level text, because it dedicates only one chapter to using the basic tools of QuarkXPress 4, including image importing, file creation, and rudimentary page setup configurations.Divided into three parts, this book treats intermediate to advanced users to fairly rich discussions of QuarkXPress 4's graphics and text tools. In addition, it covers a multitude of XTensions (third-party add-ons), and QuarkImmedia, a Quark-produced multimedia document authoring tool.True to itsIn Depthclaim, this book plumbs the farthest extent of the software's capabilities. For example, chapter 10, which focuses on the management of ""Long Documents,"" begins with a logistics checklist that outlines crucial elements of the design process, including the delegation of authority and the overall organization of the project. Once these preliminary tasks are completed, the chapter launches into the technical procedures required for managing the document using QuarkXPress tools such as its book palette, which allows for the combination and consolidation of multiple small documents, creating lists, and constructing an index using each of the indexing tool's features.Though the book includes a special, full-color section, the images selected can often be puzzling. Why waste full-color plates on a cyan, magenta, yellow, and black layering example that appears out of context with the examples from the brochure tutorial? And why would it be necessary to include full-color screen shots of color dialog boxes rather than better visual demonstrations of the software's layout capabilities? Aside from this unnecessary attempt at adding bells and whistles, though, the book does a decent job of addressing the software's more complex attributes.--Ryan Kuykendall",Dean &amp; Tyler
1576102939,Photoshop 5 Enhanced,108.05,http://ecx.images-amazon.com/images/I/51RMXKB95QL._SY300_.jpg,{'Pet Supplies': 455536},"[['Pet Supplies', 'Dogs', 'Collars, Harnesses & Leashes', 'Leashes', 'Basic Leashes']]","Written for intermediate and advanced users of Adobe Photoshop 5 for Macintosh and Windows,Photoshop 5 in Depthoffers a clearly written, comprehensive guide to creating, editing, and outputting images for print, the Web, and multimedia projects. The writers, Sherry London and David Xenakis, thoroughly discuss each feature in Photoshop and explain the technology and history behind the various tools. They also offer detailed advice on using the various tools to achieve just the sort of look you want, whether you're cleaning up and color correcting an old, tattered photo that you've scanned in, or creating a fantastic piece of art.There are plenty of step-by-step instructions in the book's projects, and you work through these using the files on the included CD-ROM. A ""Moving On"" section sums up each chapter and explains how the next chapter will further your knowledge of Photoshop. A full-color section in the middle of the book shows a few of the project images, as well as images that have been altered via filters, masking techniques, and color-correcting options. Helpful illustrations and shortcut tips pepper the book. The companion CD-ROM has free images and clip art, demonstration versions of Adobe After Effects and Illustrator for Windows and Macintosh, and various third-party plug-ins and Web Actions for both platforms.--Kathleen Caster",Dean &amp; Tyler
1576102807,Windows 2000 Programming Black Book,100.36,http://ecx.images-amazon.com/images/I/51MZM82JYKL._SY300_.jpg,{'Pet Supplies': 243585},"[['Pet Supplies', 'Dogs', 'Collars, Harnesses & Leashes', 'Leashes', 'Basic Leashes']]","Dean & Tyler Bundle of 2 items - One ""B&B;"" Collar Nickel, 18"" By 1 1/2"" With/Plus One Matching ""Brady Bunch"" Leash, 5-Feet with Stainless Steel Hardware - Both product are BLACK.",Dean &amp; Tyler
