asin,title,price,imUrl,salesRank,categories,description,brand
0000031909,Girls Ballet Tutu Neon Pink,7.0,http://ecx.images-amazon.com/images/I/41xBoP0FVzL._SY300_.jpg,{'Toys & Games': 201847},"[['Sports & Outdoors', 'Other Sports', 'Dance']]",High quality 3 layer ballet tutu. 12 inches in length,Unknown
0000032034,Adult Ballet Tutu Yellow,7.87,http://ecx.images-amazon.com/images/I/21GNUNIa1CL.jpg,,"[['Sports & Outdoors', 'Other Sports', 'Dance', 'Clothing', 'Girls', 'Skirts']]",,BubuBibi
0000031852,Girls Ballet Tutu Zebra Hot Pink,3.17,http://ecx.images-amazon.com/images/I/51fAmVkTbyL._SY300_.jpg,{'Toys & Games': 211836},"[['Sports & Outdoors', 'Other Sports', 'Dance']]",TUtu,Coxlures
0000032050,Adult Ballet Tutu Purple,12.85,http://ecx.images-amazon.com/images/I/41TxNYG8cwL._SX342_.jpg,,"[['Sports & Outdoors', 'Other Sports', 'Dance', 'Clothing', 'Girls', 'Skirts']]",,BubuBibi
0000031895,Girls Ballet Tutu Neon Blue,2.99,http://ecx.images-amazon.com/images/I/41Csjlr%2BxpL._SY300_.jpg,{'Toys & Games': 36575},"[['Sports & Outdoors', 'Other Sports', 'Dance']]","Dance tutu for girls ages 2-8 years. Perfect for dance practice, recitals and performances, costumes or just for fun!",BubuBibi
060791548X,Medicine Bow National Forest Map - Waterproof,18.99,http://ecx.images-amazon.com/images/I/51%2BiFVUaDrL._SY300_.jpg,{'Sports &amp; Outdoors': 306656},"[['Sports & Outdoors', 'Outdoor Gear', 'Camping & Hiking', 'Topographic Maps']]","Detailed Map Of Medicine Bow National Forest In Wyoming. This Map Is Waterproof, And Has A Scale of 1:126,720.",U.S. Forest Service
0607968699,Black Hills National Forest Map,17.99,http://ecx.images-amazon.com/images/I/41F-DI9uadL._SY300_.jpg,{'Sports &amp; Outdoors': 694678},"[['Sports & Outdoors', 'Outdoor Gear', 'Camping & Hiking', 'Topographic Maps']]","Detailed Map Of The Black Hills National Forest In South Dakota & Wyoming. This Map Is Waterproof And Has A Scale Of 1:126,720.",U.S. Forest Service
0615302939,Journey to Excellence,21.6,http://ecx.images-amazon.com/images/I/51ffn%2BO1KqL._SY300_.jpg,{'Sports &amp; Outdoors': 215250},[['Sports & Outdoors']],"Paperback: 147 pages, Publisher: Sea Script (September 4, 2009), Language: English, # ISBN-10: 0615302939  # ISBN-13: 978-0615302935, Product Dimensions: 8.9 x 5.9 x 0.4 inches",NNG
0615329020,Booklegger Golf Genie Tee To Green Pocket Guide Book,14.99,http://ecx.images-amazon.com/images/I/51Dv6q0LwvL._SX300_.jpg,{'Sports &amp; Outdoors': 17089},"[['Sports & Outdoors', 'Golf']]","Learn From The Pros ... Golf Genie Tee To Green Pocket Guide! Golf Genie Tee To Green Pocket Guide is a portable PGA reference tool for key golf shots and problem swings. This accessible manual was created by top PGA professionals to improve your golf game on and off the course. The guide provides color illustrations in three key categories to educate and prepare amateur golfers for the next game. No golfer should be without it! Golf Genie Tee to Green Pocket Guide features: Award winning guide PGA-tested instruction designed by top PGA professionals Colorful illustrations effectively convey advice Three categories: Basic, Advanced Shots, and Quick Fixes Easily accessible tabbed categories Conforms to USGA Rules of Golf Simple graphics and text Conveniently accessible at all times; fits right in your pocket 64 pages and features over 100 illustrations Click here for a chapter sample ""Golf genie is a great way to reinforce your teaching pro's lessons on or off the course. I was excited to contribute to it and recommend it to my students."" -Mel Sole, Director of Instruction and Owner, Ritson-Sole Golf School PGA Tips Right In Your Pocket!",Booklegger
0736060332,Power Systems Advanced Strength Training,36.18,http://ecx.images-amazon.com/images/I/51-ZZHhFGWL._SY300_.jpg,{'Sports &amp; Outdoors': 1288415},"[['Sports & Outdoors', 'Exercise & Fitness']]",New! Maximize strength gains with scientifically proven training methods. This DVD shows how to make the most of your time in the gym by varying both the elements of an individual workout and the types of workouts performed over the course of a week. Dana,Power Systems
0743273575,Hogan'S Five Lessons (P) - Golf Book,9.99,http://ecx.images-amazon.com/images/I/41HumwrZwJL._SY300_.jpg,{'Sports &amp; Outdoors': 27809},"[['Sports & Outdoors', 'Golf']]","By Ben Hogan with Herbert Warren Wind and drawings by Anthony Ravielli. Covers the Fundamentals, Grip, Stance, Posture, First & Second part of the swing and a short summary and review.",Golf Smart
0743608658,"WPC 002 Connecticut River,",21.95,http://ecx.images-amazon.com/images/I/51H8efdoeJL._SY300_.jpg,{'Sports &amp; Outdoors': 1959393},"[['Sports & Outdoors', 'Hunting & Fishing', 'Fishing', 'Accessories', 'Charts & Maps']]","CT River entrance to Hartford, CT. Featuring ""no wake zones"", a key to fish species and marina and ramp locations and information. 14"" x 60"", scale 1:20,000. ISBN: 0-7436-0865-8",Maptech
074360962X,Maptech ChartKit Book w/ Companion CD - Chesapeake and Delaware Bays,125.95,http://ecx.images-amazon.com/images/I/41Gp5EKs3tL.jpg,{'Sports &amp; Outdoors': 332102},"[['Sports & Outdoors', 'Boating & Water Sports', 'Boating']]","4: Chesapeake and Delaware Bays, Edition 10Cape May, NJ, to Cape Henry, VA, inside and outside. Full-color charts, waypoints, courses and distances, chart datums for GPS, Yeoman reference points, and color aerial photos. Save hundreds of dollars on charts. 22 X 17"", 82 chart pages.",Maptech
0743608984,Maptech ChartKit&reg; Book w/Companion CD - Florida West Coast &amp; The Keys,116.95,http://ecx.images-amazon.com/images/I/31TLFBo7udL.jpg,{},"[['Sports & Outdoors', 'Hunting & Fishing', 'Fishing', 'Accessories', 'Charts & Maps']]","CHARTKIT&reg; Bookw/ Companion CDFlorida West Coast and the KeysMiami to Dry Tortugas to Panama City inside and outside plus Okeechobee Waterway. Full-color charts waypoints courses and distances chart datums for GPS and Yeoman reference points. Save hundreds of dollars on charts. 22 X 17"" 89 chart pages.Product OverviewNew features make ChartKits easy to use with your GPS. Most charts include one-minute lat./long. grids to make vessel positioning a breeze and major navigation aids are identified with named GPS waypoints.GPS ReadyNew features make ChartKits easy to use with your GPS. Most charts include one-minute lat./long. grids to make vessel positioning a breeze and major navigation aids are identified with named GPS waypoints.Small and Large Scale ChartsChartKits include small-scale wide area charts as well as large-scale detailed charts of harbors and approaches. The Chart Page Index (inside front cover) and ""Go-To"" page numbers make it simple to quickly find the chart you want.Pre-Plotted CoursesMaptech's navigation editors add magic courses between major navigation aids with distances in nautical miles. ChartKits are also designed to help you do the calculations yourself. Each page includes a Compass Rose with annual increase in variation and plete scale information.Aerial PhotosColor aerial photos of harbors and anchorages help you know what to expect before you get there.Companion CDIt's all here...digital charts and the software tools to use them. And the great thing is the digital charts are the same identical charts with GPS waypoints and course lines - just like in the Chartbooks.PlanChartbook Companion CDs include ""Offshore Navigator Lite"" navigation software. Click your mouse to put a waypoint on a chart. Click again and you're creating a route. It's that easy. Distances bearings and GPS positions are calculated and displayed instantly.PrintPrint your own customized GPS waypoints route plans and chart segments on color or black and white printer",MAPTECH PAPER CHARTS
