asin,title,price,imUrl,salesRank,categories,description,brand
0963469142,Five Crowns,12.04,http://ecx.images-amazon.com/images/I/31XWao349qL.jpg,{'Toys & Games': 197684},"[['Tools & Home Improvement', 'Power & Hand Tools', 'Power Tool Accessories', 'Fastening Tool Accessories', 'Collated Fasteners', 'Staples']]","Five Crowns? is a card game for the whole family. It has original game play, but uses skills that you have obtained from playing your old favorites like hearts, spades and rummy. Because Five Crowns has five Royal Families - the Stars, the Clubs, the Hearts, the Spades and the Diamonds - yes, five suits in the old usage, it allows a more equal chance of making a book or a run, effectively giving each player more possibilities to readjust their hand so as to go out. Good players are able to take advantage of this and win more than an average number of games. The play starts with three cards and 3s are wild; next hand has four cards and 4s are wild....working up to the last hand when Kings are wild. Each of the royal families is portrayed in original art and has its own colors. The Renaissance designs result in cards that are beautiful to hold in your hand and give a ""collector"" feel to the game. Five Crowns is a fast paced, ingenious new game in eleven rounds. You may be winning, but before coveting the winner's crown, beware... The play starts with three cards and 3s are wild; next hand has four cards and 4s are wild....working up to the last hand when Kings are wild. Each of the royal families is portrayed in original art and has its own colors. The Renaissance designs result in cards that are beautiful to hold in your hand and give a ""collector"" feel to the game. Five Crowns is a fast paced, ingenious new game in eleven rounds. You may be winning, but before coveting the winner's crown, beware...",Everest
100100003X,"MAGCREDIBLE&reg; Magnets - 1/2&quot; x 1/16&quot; Rare Earth Disc, Package of 24",9.96,http://ecx.images-amazon.com/images/I/51Ug0IrH1uL._SX300_.jpg,,"[['Tools & Home Improvement', 'Hardware', 'Cabinet Hardware', 'Catches']]","Rare earth magnets are the strongest type of permanent magnet currently made. They are amazingly powerful for their size and have innumerable uses. These disc magnets are 0.5"" in diameter and 0.0625"" thick. They are magnetized through the thickness. They are composed of grade 48 neodymium iron boron magnetic material and are plated in nickel-copper-nickel for a shiny corrosion resistant finish. Their individual pull force is approximately 3 lbs. Maximum working temperature is 176 F (80 C). Magnets may chip and crack if allowed to snap together.",Incredible Magnets
104800001X,"MAGCREDIBLE&reg; Magnets - 1/8&quot; x 1/16&quot; Rare Earth Disc, Package of 100",8.95,http://ecx.images-amazon.com/images/I/51be6wJ9BRL._SX300_.jpg,,"[['Tools & Home Improvement', 'Hardware', 'Cabinet Hardware', 'Catches']]","Rare earth magnets are the strongest type of permanent magnet currently made. They are amazingly powerful for their size and have innumerable uses. These disc magnets are 0.125"" in diameter and 0.0625"" thick. They are magnetized through the thickness. They are composed of grade 48 neodymium iron boron magnetic material and are plated in nickel-copper-nickel for a shiny corrosion resistant finish. Their individual pull force is approximately 0.8 lbs. Maximum working temperature is 176 F (80 C). Magnets may chip and crack if allowed to snap together.",Incredible Magnets
1390485013,P&amp;o 7 Color Romantic Changing LED Floating Rose Flower Candle Night Light(Kitchen),2.24,http://ecx.images-amazon.com/images/I/516rF5ntbNL._SY300_.jpg,{'Home &amp; Kitchen': 702850},"[['Tools & Home Improvement', 'Lighting & Ceiling Fans', 'Wall Lights', 'Night Lights']]","The latest LED bulbs, built-in service life can 100,000 hours. Roses colors glow night light is suitable for the bedroom, the family decoration, gift, bar, cafe, restaurant, and romantic place?&lt;ul&gt; &lt;li&gt; Led rose light, enjoy a romantic time &lt;/li&gt; &lt;li&gt; Looks like a real rose! &lt;/li&gt; &lt;li&gt; Safe around children and pets. &lt;/li&gt; &lt;li&gt; Lifetime flickering LED bulbs! &lt;/li&gt; &lt;li&gt; soft light,color changing all the time, romantic! &lt;/li&gt; &lt;li&gt; Very good used in Bedroom, home, as a gift, bars, cafes, restaurants, wedding, party and other romantic places. &lt;/li&gt; &lt;li&gt; &lt;strong&gt;material:&lt;/strong&gt; PVC&lt;/li&gt; &lt;li&gt;&lt;strong&gt;color:&lt;/strong&gt; white &lt;/li&gt; &lt;li&gt; &lt;strong&gt;size:&lt;/strong&gt; Diameter: 7.0cm Height: 5.0cm? &lt;/li&gt; &lt;li&gt; &lt;strong&gt;There are three button batteries inside and they can be changed.The switch feels comfortable.The inside LED light can be used for more than 100,000 hours.It suits for the bedroom,the wine bar,coffee house, high class restaurant and all other romantic place.It can also be used as the family ornament or being sent as a gift for the wedding and so on.&lt;/strong&gt;&lt;strong&gt;Roses colors when night light is white light, light colors, after a soft light appears in the night.&lt;/strong&gt;&lt;/li&gt; &lt;/ul&gt;",P&amp;o
1558706879,Kreg PHD BOOK The Pocket Hole Drilling Jig Project Count Book by Danny Proulx,13.87,http://ecx.images-amazon.com/images/I/51L2GzyYzjL._SY300_.jpg,,"[['Tools & Home Improvement', 'Power & Hand Tools', 'Power Tool Accessories', 'Saw Blades & Accessories', 'Accessories', 'Jig Saw Accessories']]","At long last, durable joints can be made without clamps or special fasteners. And no book exists that shows woodworkers how to use this time-saving tool to create these joints-until now. The Pocket Hole Drilling Jig Project Book gives woodworkers step-by-step instructions for using a pocket hole drilling jig to create joints in a range of stunning furniture projects, including: *Face frames *Cabinets *Tables *Shelving units *Dressers *Frame-and-panel doors *And more.  As with the biscuit joiner, woodworkers are learning they can't live without this small, inexpensive piece of equipment that has revolutionized how joints are made. The Pocket Hole Drilling Jig Project Book teaches them how to make the most of their new favorite tool.",Kreg
1590651669,Pantone Plus Series FORMULA Guides Solid Coated &amp; Uncoated (Two-Guide Set),130.2,http://ecx.images-amazon.com/images/I/41zcMP3LxcL._SY300_.jpg,,"[['Tools & Home Improvement', 'Painting Supplies & Wall Treatments', 'Paint, Stain & Solvents', 'House Paint']]","The ""Must Have"" Guides for Designers, Printers and Color Decision Makers. These new PLUS SERIES FORMULA GUIDES are the updated versions of the indispensable PANTONE MATCHING SYSTEMtools for selecting, specifying and matching solid PANTONE Colors. Graphic designers, pre-press professionals and printers now have 1,341 color choices - all of the current PANTONE MATCHING SYSTEM Colors plus 224 new, market-proven hues - in a new chromatic arrangement. Ink formulations are provided to aid printers in mixing colors. Includes color index, lighting evaluation tool and design software. Set of two guides, coated and uncoated. These guides provide a broad selection of market-driven colors, for practically unlimited creativity. The chromatic format makes color selection more intuitive and the substrate paper stock matches popular print specifications and is environmentally sensitive. All of the new solid colors are created using the existing 14 PANTONE MATCHING SYSTEM Basic Color Inks - no new equipment or training is necessary. In addition, the colors are printed using a uniform ink film thickness making them easily matched on press. Included in the box is a lighting indicator tool, which determines if lighting conditions are suitable for accurate color selection and matching. And a color-correction tool is also included, which enables easy color balancing and creative control of digital images.",Pantone
1594415196,Carson Dellosa D.J. Inkers Sun 'n Rainbow Bulletin Board Set (610023),28.75,http://ecx.images-amazon.com/images/I/51a798nJU6L._SX300_.jpg,,"[['Tools & Home Improvement', 'Painting Supplies & Wall Treatments', 'Wall Stickers & Murals']]","This colorful, spring-themed bulletin board set includes: A rainbow (51.5"" x 27"" when assembled) A sun accent A bunny 2 flower clusters 10 butterflies 6 birds 2 snails A resource guide --Illustrations (C) Dianne J.",Carson-Dellosa
1600222099,Carson Dellosa Flowers Borders (1482),3.99,http://ecx.images-amazon.com/images/I/31jMTwiu7AL._SX300_.jpg,,"[['Tools & Home Improvement', 'Painting Supplies & Wall Treatments', 'Wallpaper Borders']]","Perfect to use alone or in layers, these straight borders come in a pack of twelve 3' x 3"" strips for a total length of 36 feet!",Carson-Dellosa
1600224296,Carson Dellosa Grass Borders (110072),5.96,http://ecx.images-amazon.com/images/I/51TlKn42m0L._SX300_.jpg,,"[['Tools & Home Improvement', 'Painting Supplies & Wall Treatments', 'Wallpaper Borders']]","Perfect to use alone or in layers, these big borders come in a pack of eight 21"" x 6"" strips for a total length of 14 feet!",Carson-Dellosa
1604182903,Carson Dellosa ABCs and 123s Borders (108056),6.2,http://ecx.images-amazon.com/images/I/41hY5jkZ1sL._SX300_.jpg,,"[['Tools & Home Improvement', 'Painting Supplies & Wall Treatments', 'Wallpaper Borders']]","Pop it! Fold it! Frame it! --These Pop-Its Borders come in a pack of eight 3' x 3"" strips for a total length of 24 feet! Display them straight or just pop it and fold it, and the border becomes three-dimensional!",Carson-Dellosa
