0	1   Animalia_(book)	Animalia_(book)
1	1	Darwin's_Dangerous_Idea	Darwin's_Dangerous_Idea
2	1	Farmer_Giles_of_Ham	Farmer_Giles_of_Ham
3	1	Manufacturing_Consent	Manufacturing_Consent
4	1	Mein_Kampf	Mein_Kampf
5	1	Mere_Christianity	Mere_Christianity
6	1	Philosophical_Investigations	Philosophical_Investigations
7	1	The_Golden_Turkey_Awards	The_Golden_Turkey_Awards
8	1	The_Holocaust_Industry	The_Holocaust_Industry
9	1	Consciousness_Explained	Consciousness_Explained
10	1	The_Logic_of_Scientific_Discovery	The_Logic_of_Scientific_Discovery
11	1	In_Our_Time_(Wolfe_book)	In_Our_Time_(Wolfe_book)
12	1	Pornography:_Men_Possessing_Women	Pornography:_Men_Possessing_Women
13	1	The_Shock_Doctrine	The_Shock_Doctrine
14	1	Now_and_Then:_From_Coney_Island_to_Here	Now_and_Then:_From_Coney_Island_to_Here
15	1	The_Saffron_Swastika	The_Saffron_Swastika
16	1	The_Eleventh_Hour_(children's_book)	The_Eleventh_Hour_(children's_book)
17	1	American_Power_and_the_New_Mandarins	American_Power_and_the_New_Mandarins
18	1	Experience_(Martin_Amis)	Experience_(Martin_Amis)
19	1	Never_Cry_Wolf	Never_Cry_Wolf
20	1	Remix_(book)	Remix_(book)
21	1	The_Adding_Machine:_Collected_Essays	The_Adding_Machine:_Collected_Essays
22	1	The_Book_of_Lost_Tales	The_Book_of_Lost_Tales
23	1	The_Father_Christmas_Letters	The_Father_Christmas_Letters
24	1	It's_About_a_Little_Bird	It's_About_a_Little_Bird
25	1	Haasil_Ghaat	Haasil_Ghaat
26	1	The_Fifty_Worst_Films_of_All_Time	The_Fifty_Worst_Films_of_All_Time
27	1	The_Great_Shark_Hunt	The_Great_Shark_Hunt
28	1	Woodsong	Woodsong
29	1	How_I_Became_a_Hindu	How_I_Became_a_Hindu
30	1	Lincoln_the_Unknown	Lincoln_the_Unknown
31	1	Lovecraft:_A_Look_Behind_the_Cthulhu_Mythos	Lovecraft:_A_Look_Behind_the_Cthulhu_Mythos
32	1	Wrong_about_Japan	Wrong_about_Japan
33	1	The_Open_Society_and_Its_Enemies	The_Open_Society_and_Its_Enemies
34	1	The_Giving_Tree	The_Giving_Tree
35	1	Thrilling_Cities	Thrilling_Cities
36	1	Catholic_Ashrams	Catholic_Ashrams
37	1	Raja_Gidh	Raja_Gidh
38	1	Coincidance:_A_Head_Test	Coincidance:_A_Head_Test
39	1	Gaza_in_Crisis	Gaza_in_Crisis
40	1	The_Structure_of_Science	The_Structure_of_Science
41	1	A_Nation_on_Trial	A_Nation_on_Trial
42	1	Forbidden_Creatures	Forbidden_Creatures
43	1	The_Mysteries_of_Harris_Burdick	The_Mysteries_of_Harris_Burdick
44	1	The_Only_Possible_Argument_in_Support_of_a_Demonstration_of_the_Existence_of_God	The_Only_Possible_Argument_in_Support_of_a_Demonstration_of_the_Existence_of_God
45	1	No_Laughing_Matter_(book)	No_Laughing_Matter_(book)
46	1	Songs_of_the_Doomed	Songs_of_the_Doomed
47	1	The_Garden_of_Abdul_Gasazi	The_Garden_of_Abdul_Gasazi
48	1	How_to_Stop_Worrying_and_Start_Living	How_to_Stop_Worrying_and_Start_Living
49	1	Woman_Hating	Woman_Hating
50	1	Hegemony_or_Survival	Hegemony_or_Survival
51	1	The_Theory_of_Moral_Sentiments	The_Theory_of_Moral_Sentiments
52	1	Where_the_Sidewalk_Ends_(book)	Where_the_Sidewalk_Ends_(book)
53	1	One_Way_Forward	One_Way_Forward
54	1	The_Price_of_the_Ticket	The_Price_of_the_Ticket
55	1	The_Harlan_Ellison_Hornbook	The_Harlan_Ellison_Hornbook
56	1	Bone_Black	Bone_Black
57	1	Reluctant_Guru	Reluctant_Guru
58	1	Hope_Is_a_Tattered_Flag	Hope_Is_a_Tattered_Flag
59	1	This_Changes_Everything	This_Changes_Everything
60	1	The_American_Way_of_Death	The_American_Way_of_Death
61	1	Unended_Quest	Unended_Quest
62	1	How_Angel_Peterson_Got_His_Name	How_Angel_Peterson_Got_His_Name
63	1	The_Pump_House_Gang	The_Pump_House_Gang
64	1	The_Dangerous_World_of_Butterflies	The_Dangerous_World_of_Butterflies
65	1	Reality_Is_What_You_Can_Get_Away_With	Reality_Is_What_You_Can_Get_Away_With
66	1	Class_Warfare	Class_Warfare
67	1	Critique_of_Pure_Reason	Critique_of_Pure_Reason
68	1	Intercourse_(book)	Intercourse_(book)
69	1	Local_Color_(book)	Local_Color_(book)
70	1	Walden	Walden
71	1	The_Fire_Next_Time	The_Fire_Next_Time
72	1	Tibetan_Peach_Pie:_A_True_Account_of_an_Imaginative_Life	Tibetan_Peach_Pie:_A_True_Account_of_an_Imaginative_Life
73	1	Small_Wonder_(essays)	Small_Wonder_(essays)
74	1	The_Poverty_of_Historicism	The_Poverty_of_Historicism
75	1	The_Problems_of_Philosophy	The_Problems_of_Philosophy
76	1	Critique_of_Judgment	Critique_of_Judgment
77	1	Critique_of_Practical_Reason	Critique_of_Practical_Reason
78	1	Breaking_the_Spell:_Religion_as_a_Natural_Phenomenon	Breaking_the_Spell:_Religion_as_a_Natural_Phenomenon
79	1	The_Ramayana_(Narayan_book)	The_Ramayana_(Narayan_book)
80	1	Two_Lives_(non-fiction)	Two_Lives_(non-fiction)
81	1	Better_Than_Sex_(book)	Better_Than_Sex_(book)
82	1	Introduction_to_Metaphysics_(Heidegger)	Introduction_to_Metaphysics_(Heidegger)
83	1	Occupy_(book)	Occupy_(book)
84	1	The_Calcutta_Quran_Petition	The_Calcutta_Quran_Petition
85	1	The_Innocent_Man:_Murder_and_Injustice_in_a_Small_Town	The_Innocent_Man:_Murder_and_Injustice_in_a_Small_Town
86	1	Music_for_Chameleons	Music_for_Chameleons
87	1	We_Real_Cool:_Black_Men_and_Masculinity	We_Real_Cool:_Black_Men_and_Masculinity
88	1	Interventions	Interventions
89	1	Probuditi!	Probuditi!
90	1	Spoilt_Rotten	Spoilt_Rotten
91	1	Principles_of_the_Theory_of_Probability	Principles_of_the_Theory_of_Probability
92	1	The_Problem_of_Pain	The_Problem_of_Pain
93	1	The_Screwtape_Letters	The_Screwtape_Letters
94	1	Tractatus_Logico-Philosophicus	Tractatus_Logico-Philosophicus
95	1	If_This_Is_a_Man	If_This_Is_a_Man
96	1	All_About_Love:_New_Visions	All_About_Love:_New_Visions
97	1	Geoff_Ryman_bibliography	Geoff_Ryman_bibliography
98	1	Fences_and_Windows	Fences_and_Windows
99	1	Adventures_in_Two_Worlds	Adventures_in_Two_Worlds
100	1	The_Wolves_in_the_Walls	The_Wolves_in_the_Walls
101	1	Contributions_to_Philosophy	Contributions_to_Philosophy
